latitude,longitude,time_bp
-31.965555,125.916389,1
-30.008333,127.033333,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.35,138.65,1
-28.25,138.66667,1
-28.25,138.66667,1
-28.25,138.66667,1
-27.2,138.78333,1
-27.2,138.78333,1
-27.2,138.78333,1
-27.2,138.78333,1
-27.2,138.78333,1
-26.8,139.4833,1
-26.8,139.4833,1
-26.183333,139.4,1
-25.898333,139.355278,1
-24.823333,140.555278,1
-24.360833,139.471944,1
-24.048333,139.051111,1
-23.806667,139.559444,1
-23.731667,140.301111,1
