Sample_Name,longitude,latitude,mean age Cal BP,Laboratory_Code
Berry93,131.683333,-24.316667,-3500,BETA-23022
USB11,134.198333,-25.83,-3450,OZA189
CAA04,127.913333,-26.158333,-3430,OZB168U
USB10,134.198333,-25.83,-3350,OZA188U2
USB13,134.198333,-25.83,-3330,OZA190
USB10,134.198333,-25.83,-3310,OZA188U1
FinkeF4,132.2,-24.433333,-3090,Waikato
Nelson90,133,-24,-2780,A3990
ARLTG8,134.7,-23.45,-2500,OZF197
CRA9,134.5,-23.5,-2400,OZA980
USN104,134.198333,-25.83,-2380,OZA963
USA22,134.198333,-25.83,-2330,OZA187
USA16,134.198333,-25.83,-2280,OZA186U
CHA14,134.317222,-27.885556,-1820,OZA978U
USI76,134.198333,-25.83,-1720,OZA969U
Berry93,131.683333,-24.316667,-1700,BETA-23023
Nelson90,133,-24,-1660,A3989
CHC42,134.317222,-27.885556,-1610,OZA975U
CHC22,134.317222,-27.885556,-1540,OZA181
CHC24,134.317222,-27.885556,-1530,OZA182
USE72,134.198333,-25.83,-1470,BETA-76575
CHB15,134.317222,-27.885556,-1430,OZA976
USM40,134.198333,-25.83,-1310,OZA964U
USN138,134.198333,-25.83,-1150,OZA962
M06,124.983333,-25.05,-1150,BETA-30956
USJ7,134.198333,-25.83,-1140,OZA967
CHD17,134.317222,-27.885556,-1130,OZA183
CHC119,134.317222,-27.885556,-1120,OZA974
FinkeH19,132.2,-24.433333,-988,Waikato
CHD18,134.317222,-27.885556,-940,OZA184
M0652,124.983333,-25.05,-900,OZA167U
M07,124.983333,-25.05,-900,BETA-30957
ARLTK2,134.7,-23.45,-835,Waikato9582
M05170b,124.983333,-25.05,-800,BETA-68230
FinkeA22,132.2,-24.433333,-756,Waikato
M0505,124.983333,-25.05,-710,BETA-30955
CHB41,134.317222,-27.885556,-700,OZA977
USA127,134.198333,-25.83,-610,OZA973U
ARLTH10,134.7,-23.45,-606,Waikato9581
FinkeI16,132.2,-24.433333,-552,Waikato
CHA42,134.317222,-27.885556,-510,OZA979U
USK14,134.198333,-25.83,-510,OZA966U
ARLTN15,134.7,-23.45,-433,Waikato9585
GRD12,133.498611,-26.953056,-430,OZB164
USC39,134.198333,-25.83,-410,OZA192
USL7,134.198333,-25.83,-360,OZB165
USN160,134.198333,-25.83,-360,OZA965U
FinkeG15,132.2,-24.433333,-360,Waikato
USF06,134.198333,-25.83,-310,OZA961U
USG22,134.198333,-25.83,-300,OZA970
M07,124.983333,-25.05,-300,BETA-30958
USC89,134.198333,-25.83,-250,BETA-76573
USA131,134.198333,-25.83,-200,OZA972
USN363,134.198333,-25.83,-170,BETA-76577
USN279,134.198333,-25.83,-80,BETA-76576
ARLT01,134.7,-23.45,-50,Waikato9584
ARLTP5,134.7,-23.45,-50,Waikato9583
