latitude,longitude,time_bp
-31.9,127,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.7,127.5,1
-31.4,127.2,1
-31.21275,142.311413,1
-31.04695,142.611961,1
-30.55,130.96666,1
-30.50011,131.91667,1
-30.45011,131.83334,1
-30.45,131.833333,1
-30.2,125.3,1
-30.00011,130,1
-30.00011,130,1
-29.86992,141.06779,1
-29.60641,140.4161,1
-29.60641,140.4161,1
-29.60641,140.4161,1
-29.60641,140.4161,1
-29.60641,140.4161,1
-29.581,139.943,1
-29.544,139.942,1
-29.52605,140.5012,1
-29.52131,140.50714,1
-29.519,139.893,1
-29.51176,139.95482,1
-29.491,139.932,1
-29.479,139.967,1
-29.46047,140.5564,1
-29.417,140.421,1
-29.416,140.37,1
-29.416,140.37,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.41571,140.47879,1
-29.40045,139.98633,1
-29.38711,140.40266,1
-29.38711,140.40266,1
-29.382,140.321,1
-29.358,140.005,1
-29.347,140.023,1
-29.347,140.023,1
-29.33344,137.33334,1
-29.318,140.034,1
-29.312,140.01,1
-29.29806,137.03859,1
-29.273,140.053,1
-29.25926,136.80106,1
-29.258,140.006,1
-29.22531,136.99206,1
-29.217,140.073,1
-29.20557,136.70158,1
-29.201,140.01,1
-29.15507,137.39243,1
-29.149721,141.038286,1
-29.14828,137.05873,1
-29.145128,141.056197,1
-29.145128,141.056197,1
-29.139258,141.091428,1
-29.135119,141.034748,1
