Sample_Name,Latitude,Longitude,mean age Cal BP,Laboratory_Code
ARK1,-30.066667,142.566667,-620,OZC044
ARK1,-30.066667,142.566667,-470,OZC045
BR1 (base),-31.35,138.55,-6710,OZB291
BR1 (base),-31.35,138.55,-7310,BETA-81090
BR1 (top),-31.35,138.55,-6800,OZB292
BR1 (top),-31.35,138.55,-7400,BETA-8108
BR2 (middle),-31.35,138.55,-5020,OZC049
BR3 (base),-31.35,138.55,-3690,OZB298
BR3 (base),-31.35,138.55,-3640,OZB293
BR3 (top),-31.35,138.55,-3790,OZB300
BR3 (top),-31.35,138.55,-3570,OZB299
BR4 (10cm),-31.35,138.55,-6290,OZB295
BR4 (10cm),-31.35,138.55,-5690,OZB294
BR4 (10cm),-31.35,138.55,-6930,BETA-81091
BR4 (20cm),-31.35,138.55,-6520,BETA-87299
BR4 (30cm),-31.35,138.55,-6580,BETA-87300
BR4 (40cm),-31.35,138.55,-6880,BETA-87301
BR4 (50cm),-31.35,138.55,-6920,BETA-87302
BR4 (60cm),-31.35,138.55,-6650,OZB297
BR4 (60cm),-31.35,138.55,-6610,OZB296
BR4 (60cm),-31.35,138.55,-7720,BETA-81092
BR7 (base),-31.35,138.55,-5790,OZC047
BRACHINA1,-31.35,138.55,-2430,OZA308U
BRACHINA2,-31.35,138.55,-2950,OZA309
CG1,-30.966667,139.333333,-470,OZC619
EYRIE2,-31.394929,138.856601,-1600,OZA310U
EYRIECAVE2,-31.394929,138.856601,-961,OZA311
HH1 base,-30.066667,142.566667,-770,OZC041
HH1 top,-30.066667,142.566667,-590,OZC040
MC1 (centre),-30.966667,139.333333,-1280,OZC620
MC1 (exposed base),-30.966667,139.333333,-410,OZC625
MC2 (overhang),-30.966667,139.333333,-590,OZC623
MC2 (top),-30.966667,139.333333,-385,OZC614
MC2 (top),-30.966667,139.333333,-230,OZC622U1
MD3,-30.966667,139.333333,-7260,OZC615U2
NWCK 1,-30.066667,142.566667,-560,OZC048
NWCK 2,-30.066667,142.566667,-3670,OZC617U2
OT1,-30.066667,142.566667,-880,OZC616
OT1,-30.066667,142.566667,-880,OZC621U1
RC 1,-30.066667,142.566667,-4350,OZC046
RC 2,-30.066667,142.566667,-2430,OZC618
RC3 base,-30.066667,142.566667,-450,OZC043
SAJQ76,-30.333333,139.333333,-1000,BETA-62204
SAJQ77,-30.333333,139.333333,-1920,ANU7753
SAJQ78,-30.333333,139.333333,-6380,ANU8136
SAJQ79,-30.333333,139.333333,-8820,ANU7754
SAJQ79  i,-30.333333,139.333333,-5540,OZA315
SAJQ79  ii,-30.333333,139.333333,-7200,OZA316U
SAJQ79  ii,-30.333333,139.333333,-6472,OZA31?
SAJQ85  L,-30.966667,139.333333,-9420,ANU8110
SAJQ85  L,-30.966667,139.333333,-10630,ANU8138
SAJQ85  Li,-30.333333,139.333333,-10550,OZA317
SAJQ85  Lii,-30.333333,139.333333,-11950,OZA318U
SAJQ85  R,-30.966667,139.333333,-10900,OZA318
SAJQ85  R(base),-30.966667,139.333333,-10870,ANU8109
SAJQ85  R(base),-30.966667,139.333333,-9060,ANU8137
SAJQ85  Rii,-30.333333,139.333333,-10850,
SAJQ85  Rii,-30.333333,139.333333,-9473,OZA319
SAJQ89,-30.966667,139.333333,-5340,ANU8139
SAJQ91,-30.333333,139.333333,-1300,ANU8140
SAJQ92,-30.333333,139.333333,-630,BETA-62205
WF,-30.066667,142.566667,0,OZC624
