latitude,longitude,time_bp
-8.316667,116.433333,1
-8.666667,120.666667,1
-37.896,142.034,1
-37.88,142.07,1
-37.92,142.1,1
-37.92,142.1,1
-37.92,142.1,1
-38.08,142.8,1
-38.61409,142.96033,1
-38.68,143.15,1
-38.6939,143.1508,1
-38.6938,143.152,1
-38.6938,143.152,1
-38.6938,143.152,1
-38.6938,143.152,1
-38.6938,143.152,1
-38.77,143.23,1
-38.74019,143.24303,1
-38.70685,143.37636,1
-38.70685,143.37636,1
-38.54018,143.37636,1
-38.70685,143.37636,1
-38.68,143.38,1
-38.68,143.38,1
-38.68,143.38,1
-38.68,143.38,1
-38.57,143.4,1
-38.79018,143.45969,1
-38.8246,143.497,1
-38.78,143.5,1
-38.83969,143.50297,1
-38.83969,143.50297,1
-38.83969,143.50297,1
-38.8327,143.503,1
-38.846,143.504,1
-38.83522,143.50496,1
-38.835,143.505,1
-38.835,143.5052,1
-38.8344,143.506,1
-38.866665,143.51666,1
-38.866665,143.51666,1
-38.87,143.52,1
-38.8447,143.559,1
-38.8447,143.559,1
-38.8447,143.559,1
-38.8447,143.559,1
-38.8447,143.559,1
-38.8447,143.559,1
-38.8447,143.559,1
-38.8469,143.5595,1
-38.8469,143.5595,1
-38.84018,143.55969,1
-38.84018,143.55969,1
-38.84018,143.55969,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.85,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.63,143.57,1
-38.64018,143.57635,1
-38.64018,143.57635,1
-38.64018,143.57635,1
-38.64018,143.57635,1
-38.67,143.6,1
-38.62351,143.62635,1
-38.64018,143.62635,1
-38.70685,143.62636,1
-38.63,143.63,1
-38.57351,143.65969,1
-38.58,143.67,1
-38.58,143.67,1
-38.58,143.67,1
-38.58,143.67,1
-38.59018,143.67635,1
-38.59018,143.67635,1
-38.58,143.68,1
-38.54018,143.70968,1
-38.45685,143.70968,1
-38.5,143.73,1
-38.60685,143.75969,1
-38.50685,143.77635,1
-38.63,143.78,1
-38.65877,143.81649,1
-38.65877,143.81649,1
-38.48,143.88,1
-38.49103,143.89707,1
-38.49103,143.89707,1
-38.55852,143.92822,1
-38.55837,143.93395,1
-38.55837,143.93395,1
-38.55837,143.93395,1
-38.55837,143.93395,1
-38.55757,143.93647,1
-38.47189,143.94214,1
-38.54018,143.95968,1
-38.5538,143.976,1
-38.5538,143.976,1
-38.5538,143.976,1
-38.5538,143.976,1
-38.49018,143.99301,1
-38.5113,143.998,1
-38.5113,143.998,1
-38.4646,144.095,1
-38.4646,144.095,1
-38.47,144.1,1
-38.25,144.68,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.31665,144.75,1
-41.5286291,145.0410528,1
-37.78,145.08,1
-41.537824,145.103483,1
-37.87349,145.29298,1
-37.87349,145.29298,1
-37.88298,145.31774,1
-37.88182,145.31798,1
-37.8884,145.31875,1
-37.8866,145.31879,1
-37.88,145.32,1
-37.92,145.35,1
-37.92,145.35,1
-37.92,145.35,1
-37.92,145.35,1
-37.89016,145.35965,1
-37.9053,145.36727,1
38.400002,145.369995,1
-37.92,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82,145.37,1
-37.82349,145.37631,1
-37.87349,145.37631,1
-37.79016,145.37631,1
-37.87349,145.37631,1
-37.87349,145.37631,1
-37.87349,145.37631,1
-37.87349,145.37631,1
-37.82349,145.37631,1
-37.87349,145.37631,1
-37.82349,145.37631,1
-37.82349,145.37631,1
-37.82349,145.37631,1
-37.82349,145.37631,1
-37.87349,145.37631,1
-37.82349,145.37631,1
-37.79467,145.38334,1
-37.85682,145.39298,1
-37.84016,145.39298,1
-37.83087,145.39391,1
-37.83087,145.39391,1
-38.00236,145.41296,1
-37.48,145.45,1
-37.54015,145.45964,1
-42.98754,145.49927,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-41.45,145.53333,1
-37.54015,145.54297,1
-37.54015,145.57631,1
-37.88,145.62,1
-37.898,145.624,1
-37.898,145.624,1
-37.94015,145.62631,1
-38.04151,145.66281,1
-38.016666,145.66667,1
-38.01515,145.68465,1
-37.85367,145.70941,1
-37.87349,145.70964,1
-37.79015,145.70964,1
-37.85682,145.70964,1
-37.97349,145.70964,1
-37.85682,145.70964,1
-37.87349,145.70964,1
-37.957,145.71,1
-37.9752,145.719,1
-37.9752,145.719,1
-37.9752,145.719,1
-37.963,145.72,1
-37.963,145.72,1
-37.82,145.75,1
-37.91515,145.75131,1
-37.9836,145.756,1
-37.9836,145.756,1
-41.67,145.77,1
-37.54015,145.79297,1
-37.79015,145.79297,1
-37.87349,145.79297,1
-37.54015,145.79297,1
-37.54015,145.79297,1
-37.79015,145.79297,1
-37.67,145.8,1
-37.67,145.8,1
-37.6982,145.8,1
-37.67,145.8,1
-37.67,145.8,1
-37.6763,145.802,1
-37.6763,145.802,1
-37.6763,145.802,1
-37.53,145.83,1
-37.53,145.83,1
-37.53,145.83,1
-37.53,145.83,1
-37.53,145.83,1
-37.83881,145.84036,1
-37.84333,145.84142,1
-37.5387,145.84163,1
-37.5387,145.84163,1
-37.54,145.842,1
-37.54,145.842,1
-37.54103,145.84241,1
-37.54103,145.84241,1
-37.5396,145.84326,1
-37.6845,145.84566,1
-37.55,145.85,1
-37.86515,145.85131,1
-37.535,145.857,1
-37.5526,145.858,1
-37.5526,145.858,1
-37.55694,145.86399,1
-37.82463,145.86444,1
-37.5,145.87,1
-37.84632,145.87093,1
-37.84813,145.87203,1
-37.51108,145.87486,1
-37.51019,145.87601,1
-37.49015,145.8763,1
-37.54015,145.8763,1
-37.4943,145.877,1
-37.4943,145.877,1
-37.49489,145.8785,1
-37.51202,145.87938,1
-37.51202,145.87938,1
-37.4868,145.88088,1
-37.3118,145.905,1
-37.3118,145.905,1
-43.3386335,145.9110694,1
-43.3386335,145.9110694,1
-37.4277,145.91575,1
-37.36636,145.91768,1
-38.82,145.92,1
