latitude,longitude,time_bp
-22.9,118.9,-31430
-22.9,118.9,-19630
-22.9,118.9,-16870
-22.9,118.9,-15900
-22.9,118.9,-13525
-22.9,118.9,-12495
-22.9,118.9,-12460
-22.9,118.9,-12145
-30.3,139.3,-11950
-31,139.3,-10900
-31,139.3,-10870
-30.3,139.3,-10870
-30.3,139.3,-10850
-22.9,118.9,-10760
-31,139.3,-10630
-30.3,139.3,-10550
-22.9,118.9,-10405
-22.9,118.9,-10375
-22.9,118.9,-9720
-22.9,118.9,-9680
-30.3,139.3,-9473
-31,139.3,-9420
-31,139.3,-9060
-30.3,139.3,-8820
-31.4,138.6,-7720
-31.4,138.6,-7400
-31.4,138.6,-7310
-31,139.3,-7260
-30.3,139.3,-7200
-22.9,118.9,-7035
-31.4,138.6,-6930
-31.4,138.6,-6920
-22.9,118.9,-6890
-31.4,138.6,-6880
-22.9,118.9,-6845
-31.4,138.6,-6800
-22.9,118.9,-6770
-31.4,138.6,-6710
-31.4,138.6,-6650
-31.4,138.6,-6610
-31.4,138.6,-6580
-31.4,138.6,-6520
-31.1,142.6,-6520
-30.3,139.3,-6472
-31.1,142.6,-6470
-30.3,139.3,-6380
-31.1,142.6,-6360
-31.1,142.6,-6360
-31.4,138.6,-6290
-31.4,138.6,-5790
-31.1,142.6,-5710
-31.4,138.6,-5690
-30.3,139.3,-5540
-22.9,118.9,-5395
-31.1,142.6,-5340
-31,139.3,-5340
-31.1,142.6,-5240
-22.9,118.9,-5120
-31.4,138.6,-5020
-30.1,142.6,-4350
-31.4,138.6,-3790
-31.4,138.6,-3690
-30.1,142.6,-3670
-31.4,138.6,-3640
-31.4,138.6,-3570
-24.3,131.7,-3500
-22.9,118.9,-3495
-25.8,134.2,-3450
-31.1,142.6,-3430
-26.2,127.9,-3430
-25.8,134.2,-3350
-25.8,134.2,-3330
-25.8,134.2,-3310
-22.9,118.9,-3230
-24.4,132.2,-3090
-31.1,142.6,-3040
-31.1,142.6,-2960
-22.9,118.9,-2960
-31.4,138.6,-2950
-22.9,118.9,-2840
-22.9,118.9,-2810
-24,133,-2780
-31.2,142.6,-2680
-23.4,134.7,-2500
-22.9,118.9,-2445
-31.4,138.6,-2430
-30.1,142.6,-2430
-23.5,134.5,-2400
-25.8,134.2,-2380
-25.8,134.2,-2330
-25.8,134.2,-2280
-22.9,118.9,-2225
-22.9,118.9,-2080
-28.4,123,-1950
-30.3,139.3,-1920
-31.2,142.6,-1840
-27.9,134.3,-1820
-25.8,134.2,-1720
-24.3,131.7,-1700
-24,133,-1660
-22.9,118.9,-1660
-27.9,134.3,-1610
-31.4,138.9,-1600
-27.9,134.3,-1540
-27.9,134.3,-1530
-30.5,119.7,-1480
-25.8,134.2,-1470
-27.9,134.3,-1430
-31.1,142.6,-1380
-25.8,134.2,-1310
-31.1,142.6,-1300
-30.3,139.3,-1300
-31,139.3,-1280
-25.8,134.2,-1150
-25,125,-1150
-25.8,134.2,-1140
-27.9,134.3,-1130
-27.9,134.3,-1120
-31.1,142.6,-1000
-30.3,139.3,-1000
-24.4,132.2,-988
-31.4,138.9,-961
-27.9,134.3,-940
-25,125,-900
-25,125,-900
-30.1,142.6,-880
-30.1,142.6,-880
-22.9,118.9,-865
-23.4,134.7,-835
-25,125,-800
-30.9,142.6,-780
-30.1,142.6,-770
-24.4,132.2,-756
-25,125,-710
-27.9,134.3,-700
-30.3,139.3,-630
-30.1,142.6,-620
-25.8,134.2,-610
-23.4,134.7,-606
-31,139.3,-590
-30.3,123.3,-590
-30.1,142.6,-590
-30.1,142.6,-560
-24.4,132.2,-552
-31.2,142.6,-530
-30.3,123.3,-530
-31.2,142.6,-510
-27.9,134.3,-510
-25.8,134.2,-510
-31,139.3,-470
-30.1,142.6,-470
-31.1,142.6,-460
-30.1,142.6,-450
-23.4,134.7,-433
-27,133.5,-430
-31.2,142.6,-420
-31,139.3,-410
-30.3,123.3,-410
-25.8,134.2,-410
-31,139.3,-385
-30.9,142.6,-380
-25.8,134.2,-360
-25.8,134.2,-360
-24.4,132.2,-360
-30.5,119.7,-340
-30.3,123.3,-340
-31.2,142.6,-310
-25.8,134.2,-310
-25.8,134.2,-300
-25,125,-300
-31.2,142.6,-280
-31.2,142.6,-270
-25.8,134.2,-250
-31,139.3,-230
-31.2,142.6,-220
-25.8,134.2,-200
-25.8,134.2,-170
-25.8,134.2,-101
-30.1,142.6,-100
-25.8,134.2,-100
-23.4,134.7,-100
-23.4,134.7,-100
-30.3,123.3,-80
-25.8,134.2,-80
-28.4,123,-20
