specificEpithet,Latitude,Longitude,time_bp,basisOfRecord,individualCount,sex,preparations,year,country,stateProvince,locality,verbatimLocality,geodeticDatum
apicalis,-34.79017,143.1263,-22,HUMAN_OBSERVATION,1,,,1928,Australia,Victoria,5' BLOCK CONTAINING KOORKAB,,EPSG:4326
apicalis,-34.2485,142.33463,-94,HUMAN_OBSERVATION,1,,,1856,Australia,New South Wales,Bottle bend,,EPSG:4326
apicalis,-34.2485,142.33463,-94,HUMAN_OBSERVATION,1,,,1856,Australia,New South Wales,Bottle bend,,EPSG:4326
apicalis,-34.79017,143.1263,-22,HUMAN_OBSERVATION,3,,,1928,Australia,Victoria,5' BLOCK CONTAINING KOORKAB,,EPSG:4326
apicalis,-34.2485,142.33463,-94,HUMAN_OBSERVATION,3,,,1856,Australia,New South Wales,Bottle bend,,EPSG:4326
apicalis,-34.2485,142.33463,-94,HUMAN_OBSERVATION,13,,,1856,Australia,New South Wales,Bottle bend,,EPSG:4326
apicalis,-34.2485,142.33463,-94,HUMAN_OBSERVATION,5,,,1856,Australia,New South Wales,Bottle bend,,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skull,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,MALE,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,MALE,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,FEMALE,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,"Dry | Skin, skull",1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,FEMALE,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skull,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
apicalis,-26.65,130.8167,-17,PRESERVED_SPECIMEN,,,SC,1933,Australia,South Australia,,Mount Crombie | W of Mount Crombie,EPSG:4326
apicalis,-26.65,130.8167,-17,PRESERVED_SPECIMEN,,,W,1933,Australia,South Australia,,Mount Crombie | W of Mount Crombie,EPSG:4326
apicalis,-34.16679,142.18333,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,,,EPSG:4326
conditor,-34.2485,142.33463,-94,HUMAN_OBSERVATION,,,,1856,Australia,New South Wales,Bottle bend,,EPSG:4326
conditor,-30.55,130.966,-29,PRESERVED_SPECIMEN,,FEMALE,,1921,Australia,South Australia,,FISHER TRANS AUST RAILWAY,EPSG:4326
conditor,-30.55,130.966,-29,PRESERVED_SPECIMEN,,,,1921,Australia,South Australia,,FISHER E W LINE,EPSG:4326
conditor,-30.45,131.683,-29,PRESERVED_SPECIMEN,,FEMALE,,1921,Australia,South Australia,,9 MLS WEST OF OOLDEA TRANS LINE,EPSG:4326
conditor,-30.45,131.683,-29,PRESERVED_SPECIMEN,,MALE,,1921,Australia,South Australia,,9 MLS WEST OF OOLDEA TRANS LINE,EPSG:4326
conditor,-32.45,133.666,-28,PRESERVED_SPECIMEN,,MALE,,1922,Australia,South Australia,,Franklins Island Nuyts Archipelago.,EPSG:4326
conditor,-30.55,130.966,-27,PRESERVED_SPECIMEN,,,,1923,Australia,South Australia,,Fisher Nullarbor Plain.,EPSG:4326
conditor,-30.45,131.683,-29,PRESERVED_SPECIMEN,,MALE,,1921,Australia,South Australia,,9 mls W of Ooldea Trans Line.,EPSG:4326
conditor,-30.45,131.683,-29,PRESERVED_SPECIMEN,,MALE,,1921,Australia,South Australia,,9 MLS WEST OF OOLDEA TRANS LINE,EPSG:4326
conditor,-30.45,131.683,-29,PRESERVED_SPECIMEN,,MALE,,1921,Australia,South Australia,,9 MLS WEST OF OOLDEA TRANS LINE,EPSG:4326
conditor,-32.45,133.666,-28,PRESERVED_SPECIMEN,,FEMALE,,1922,Australia,South Australia,,Franklin's Id Nuyts Archipelago.,EPSG:4326
conditor,-30.45,131.666,-29,PRESERVED_SPECIMEN,,MALE,,1921,Australia,South Australia,,9 mls W of Ooldea Trans-Aust. Line.,EPSG:4326
