latitude,longitude,time_bp
-34.17386,141.4183,
-17.865833,140.581389,
-19.78407,141.264003,-1
-18.34261,142.59822,-1
-18.31584,142.61914,-1
-17.795,140.644167,-1
-18.048333,140.510278,-1
-18.001111,140.504167,-1
-18.075,140.586389,-1
-30.337512,136.897353,-1
-32.461506,137.748037,-1
-29.410427,142.26464,-1
-34.328446,140.541102,-1
-23.015795,142.41288,-1
-24.6819,145.9588,-1
-32.426116,142.354093,-1
-28.070995,145.688212,-1
-28.036601,144.179005,-1
-23.7839,133.914795,-1
-28.864534,146.842204,-1
-30.547808,136.934479,-1
-28.085317,144.179567,-1
-32.46026,137.747872,-1
-31.392576,136.933094,-1
-33.208672,141.307655,-1
-28.753205,134.500388,-1
-29.265779,145.14836,-1
-34.629156,139.400188,-1
-29.480973,142.231858,-1
-22.689498,116.268938,-1
-32.462641,137.742078,-1
-25.1635,143.341949,-1
-30.403883,137.174596,-1
-31.538964,144.44124,-1
-32.462166,137.741948,-1
-32.539312,142.297438,-1
-30.935832,137.044014,-1
-34.162376,141.369122,-1
-35.073211,144.861719,-1
-31.951171,140.217643,-1
-26.736104,141.006139,-1
-34.356538,139.5205,-1
-32.650159,145.676887,-1
-21.3594,139.7811,-1
-21.41727,147.261114,-1
-30.63532,145.780197,-1
-34.354055,139.498194,-1
-29.109561,141.166122,-1
-35.042358,144.872244,-1
-33.560564,142.500775,-1
-34.054012,145.386483,-1
-32.442587,142.314463,-1
-34.173846,139.97914,-1
-22.88417,141.75485,-1
-28.003217,145.6084,-1
-34.359802,139.528254,-1
-34.365285,139.533753,-1
-27.941469,145.600373,-1
-30.5174,145.714825,-1
-29.276651,142.506015,-1
-29.178612,141.035583,-1
-29.486608,142.277577,-1
-31.44554,145.777567,-1
-26.186667,143.495186,-1
-28.070733,144.189267,-1
-29.43425,142.26995,-1
-30.853271,143.086881,-1
-31.296526,142.319785,-1
-23.5152,144.7347,-1
-28.117455,145.19746,-1
-31.524209,138.632361,-1
-24.825368,144.733985,-1
-29.638212,137.824664,-1
-27.158995,134.42865,-1
-31.412059,138.582061,-1
-34.422185,140.530197,-1
-30.465778,139.047167,-1
-32.439079,142.255675,-1
-32.464989,137.748003,-1
-28.084637,144.188362,-1
-32.723859,145.590634,-1
-22.492047,143.013898,-1
-32.28108,135.98922,-1
-33.671683,139.099162,-1
-22.513666,143.025296,-1
-31.101852,141.702545,-1
-33.372803,138.15425,-1
-27.923938,147.521802,-1
-31.773372,137.312788,-1
-34.745388,142.370669,-1
-22.56739,143.06019,-1
-34.65057,139.384018,-1
-22.56739,143.06019,-1
-21.594079,142.069791,-1
-22.46231,143.000581,-1
-26.325553,118.787992,-1
-31.284713,142.292521,-1
-33.484884,143.079663,-1
-35.100877,139.150115,-1
-20.6397,140.9986,-1
-32.286521,148.583319,-1
-21.108248,141.066143,-1
-32.583833,135.309305,-1
-34.424185,139.368756,-1
-27.994588,147.498065,-1
-22.595312,144.5477,-1
-35.100877,139.150115,-1
