Species,latitude,longitude
Leporillus apicalis,-24.117,113.433
Leporillus apicalis,-23.117,113.8
Leporillus apicalis,-22.2,113.983
Leporillus apicalis,-22.183,113.983
Leporillus apicalis,-22.217,114
Leporillus apicalis,-22.133,114
Leporillus apicalis,-22.017,114.033
Leporillus apicalis,-26.4,113.3
Leporillus apicalis,-25.633,113.583
Leporillus apicalis,-26.6,113.683
Leporillus apicalis,-25.983,114.283
Leporillus apicalis,-25.35,115.15
Leporillus apicalis,-24.75,115.35
Leporillus apicalis,-29.083,115.583
Leporillus apicalis,-28.117,115.617
Leporillus apicalis,-27.467,116.283
Leporillus apicalis,-29.2,116.767
Leporillus apicalis,-23.567,117.15
Leporillus apicalis,-28.133,117.183
Leporillus apicalis,-29.567,117.25
Leporillus apicalis,-25.067,117.75
Leporillus apicalis,-24.05,117.917
Leporillus apicalis,-27.6,116.2833
Leporillus apicalis,-29.9166,117.9
Leporillus apicalis,-25.7166,122.9833
Leporillus conditor,-25.75,112.95
Leporillus conditor,-24.117,113.433
Leporillus conditor,-23.117,113.8
Leporillus conditor,-27.833,114.1
Leporillus conditor,-25.967,113.1
Leporillus conditor,-26.4,113.3
Leporillus conditor,-25.633,113.583
Leporillus conditor,-26.6,113.683
Leporillus conditor,-25.983,114.283
Leporillus conditor,-28.117,115.617
Leporillus conditor,-28.133,117.183
