sheet,n_rows,n_cols,column_names
L_Middens,273,7,"Identifier...1, Identifier...2, Longitude, Latitude, Elev (ADEM_1), Elev (9SecDEM), difference"
Lapicalis,62,3,"Identifier, Longitude, Latitude"
Lconditor,85,24,"Identifier, ...2, Longitude, Latitude, AUSDEM, 9SECDEM, ...7, ...8, ...9, ...10, ...11, ...12, ...13, ...14, ...15, ...16, Difference...17, ...18, ...19, ...20, ...21, ...22, ...23, Difference...24"
DistributionChart,458,1,-33.433340000000001
Separate Distribution,458,1,-34.183342000000003
Separate_Data,459,6,"Identifier, Species, LONG, Leporillus apicalis, Leporillus conditor, Leporillus"
NPC NT,24,13,"Search_cod, Family_nam, Taxon_name, Common_nam, Sort_order, Datum, Dec_latitu, Dec_longit, Geo_accura, Begin_obs_, End_obs_da, Obs_reliab, Observer"
FossilMiddens,160,25,"Author's description, Publication date, Author, geology, plants, Latitude...6, Longitude...7, Latitude...8, Longitude...9, Location (State), Institution (University of New South Wales, University of Wollongong), Age estimate, ...13, STDEV, RADIOCARBON LAB., ...16, TYPE OF ANALYSIS, MATERIAL ANALYSED...18, MATERIAL ANALYSED...19, DELTA13 CORRECTION (if known), PHYSICAL PRETREATMENT, CHEMICAL PRETREATMENT, POSITION, Builder, ...25"
all records,655,14,"trace, Identifier, Species, LAT, LONG, ...6, location, Site Description, Collector, year, month, date, ...13, ...14"
Sheet2,57,7,"Identifier, Species, LONG, LAT, location, Site Description, Collector"
Sheet1,17,2,"Study Location File Upload, ...2"
SHaRED,459,7,"Identifier, Species, ...3, LONG, LAT, Location data, ...7"
