,latitude,longitude,time_bp
apicalis,-22.946433,118.864421,-27670
apicalis,-22.946433,118.864421,-16280
apicalis,-22.946433,118.864421,-13978
apicalis,-22.946433,118.864421,-13270
apicalis,-30.33333333,139.3333333,-11950
apicalis,-22.946433,118.864421,-11750
apicalis,-30.96666667,139.3333333,-10900
apicalis,-30.96666667,139.3333333,-10870
apicalis,-30.33333333,139.3333333,-10870
apicalis,-30.33333333,139.3333333,-10850
apicalis,-30.96666667,139.3333333,-10630
apicalis,-30.33333333,139.3333333,-10550
apicalis,-22.946433,118.864421,-10500
apicalis,-22.946433,118.864421,-10443
apicalis,-22.946433,118.864421,-9545
apicalis,-30.33333333,139.3333333,-9473
apicalis,-30.96666667,139.3333333,-9420
apicalis,-22.946433,118.864421,-9250
apicalis,-30.96666667,139.3333333,-9060
apicalis,-30.33333333,139.3333333,-8820
apicalis,-22.946433,118.864421,-8735
apicalis,-31.35,138.55,-7720
apicalis,-31.35,138.55,-7400
apicalis,-31.35,138.55,-7310
apicalis,-30.96666667,139.3333333,-7260
apicalis,-30.33333333,139.3333333,-7200
apicalis,-31.35,138.55,-6930
apicalis,-31.35,138.55,-6920
apicalis,-31.35,138.55,-6880
apicalis,-31.35,138.55,-6800
apicalis,-31.35,138.55,-6710
apicalis,-31.35,138.55,-6650
apicalis,-31.35,138.55,-6610
apicalis,-31.35,138.55,-6580
apicalis,-31.35,138.55,-6520
apicalis,-31.06666667,142.5666667,-6520
apicalis,-30.33333333,139.3333333,-6472
apicalis,-31.06666667,142.5666667,-6470
apicalis,-30.33333333,139.3333333,-6380
apicalis,-31.06666667,142.5666667,-6360
apicalis,-31.06666667,142.5666667,-6360
apicalis,-31.35,138.55,-6290
apicalis,-31.35,138.55,-5790
apicalis,-31.06666667,142.5666667,-5710
apicalis,-31.35,138.55,-5690
apicalis,-30.33333333,139.3333333,-5540
apicalis,-30.96666667,139.3333333,-5340
apicalis,-31.06666667,142.5666667,-5340
apicalis,-31.06666667,142.5666667,-5240
apicalis,-31.35,138.55,-5020
apicalis,-22.946433,118.864421,-4715
apicalis,-22.946433,118.864421,-4605
apicalis,-30.06666667,142.5666667,-4350
apicalis,-31.35,138.55,-3790
apicalis,-31.35,138.55,-3690
