latitude,longitude,time_bp
-34.18,142.17,-300
-34.17,142.18,-300
-33.43,136.17,-300
-32.87,121.15,-300
-32.59,122.92,-300
-32.57,124.79,-300
-32.5,124.64,-300
-32.48,123.84,-300
-32.47,123.4,-300
-32.22,125.88,-300
-32.1,126.18,-300
-32.07,126.03,-300
-32.05,126.03,-300
-31.98,127.03,-300
-31.97,127.03,-300
-31.97,125.92,-300
-31.85,126.73,-300
-31.83,127.72,-300
-31.78,127.8,-300
-31.77,127.8,-300
-31.75,127.02,-300
-31.72,128.48,-300
-31.7,128.48,-300
-31.68,129.03,-300
-31.68,127.72,-300
-31.67,128.48,-300
-31.67,127.43,-300
-31.67,128.75,-300
-31.65,127.43,-300
-31.65,128.48,-300
-31.58,127.02,-300
-31.57,127.23,-300
-31.53,129.1,-300
-31.5,129.92,-300
-31.43,127.18,-300
-31.07,128.75,-300
-30.97,139.28,-300
-30.87,132.17,-300
-30.58,138.37,-300
-30.36,119.71,-300
-30.09,115.09,-300
-30.08,120.53,-300
-30.08,122.82,-300
-29.92,117.9,-300
-29.82,115.13,-300
-29.77,117.38,-300
-29.68,118.29,-300
-29.62,118.12,-300
-29.58,117.26,-300
-29.57,117.25,-300
-29.57,117.38,-300
-29.56,124.59,-300
-29.52,121.63,-300
-29.51,121.63,-300
-29.38,119.37,-300
-29.37,119.37,-300
-29.33,124.74,-300
-29.33,124.58,-300
-29.22,124.52,-300
-29.2,116.77,-300
-29.18,124.48,-300
-29.18,124.48,-300
-29.13,124.64,-300
-29.09,124.6,-300
-29.09,124.6,-300
-29.09,124.62,-300
-29.08,115.58,-300
-29.06,117.33,-300
-28.73,116.96,-300
-28.55,117.82,-300
-28.28,122.71,-300
-28.13,117.19,-300
-28.13,117.18,-300
-28.13,120.3,-300
-28.12,115.62,-300
-28.12,120.3,-300
-28.12,115.62,-300
-28.09,115.66,-300
-27.62,126.16,-300
-27.6,116.28,-300
-27.47,116.28,-300
-27.37,116.43,-300
-27.24,126.44,-300
-27.22,126.47,-300
-27.2,126.47,-300
-27.16,126.43,-300
-27.06,126.37,-300
-27.06,126.36,-300
-27.05,119.93,-300
-26.92,117.7,-300
-26.9,124.47,-300
-26.89,129.93,-300
-26.84,125.66,-300
-26.77,124.37,-300
-26.7,126.45,-300
-26.7,126.45,-300
-26.69,126.45,-300
-26.62,130.67,-300
-26.6,125.87,-300
-26.6,113.68,-300
-26.6,125.86,-300
-26.6,125.86,-300
-26.52,126.03,-300
-26.52,126.03,-300
-26.42,121.05,-300
-26.41,121.05,-300
-26.4,113.3,-300
-26.35,113.88,-300
-26.33,118.35,-300
-26.33,113.88,-300
-26.33,113.88,-300
-26.33,113.87,-300
-26.31,113.86,-300
-26.31,113.86,-300
-26.24,113.77,-300
-26.23,113.75,-300
-26.21,113.37,-300
-26.19,113.69,-300
-26.04,113.89,-300
-26,113.57,-300
-25.98,113.91,-300
-25.98,114.28,-300
-25.98,133.9,-300
-25.96,133.86,-300
-25.78,113.67,-300
-25.77,125.93,-300
-25.76,113.66,-300
-25.76,113.66,-300
-25.73,113.41,-300
-25.72,122.98,-300
-25.64,113.59,-300
-25.64,113.58,-300
-25.63,113.58,-300
-25.43,124.43,-300
-25.43,124.43,-300
-25.35,115.14,-300
-25.35,115.15,-300
-25.35,131.03,-300
-25.07,117.77,-300
-25.07,117.75,-300
-25.04,124.98,-300
-25.03,124.98,-300
-24.76,115.36,-300
-24.56,135.75,-300
-24.12,113.43,-300
-24.12,113.43,-300
-24.05,117.92,-300
-24.03,119.6,-300
-24.03,133.41,-300
-23.97,119.43,-300
-23.85,137.16,-300
-23.83,131.31,-300
-23.83,137.18,-300
-23.8,130.83,-300
-23.74,133.97,-300
-23.7,134.8,-300
-23.66,134.33,-300
-23.64,133.89,-300
-23.63,134.43,-300
-23.57,117.15,-300
-23.56,135.01,-300
-23.55,117.62,-300
-23.44,134.73,-300
-23.12,113.8,-300
-23.11,113.81,-300
-22.78,135.08,-300
-22.35,134.88,-300
-22.22,114,-300
-22.2,113.98,-300
-22.18,113.98,-300
-22.13,114,-300
-22.02,114.03,-300
-22,137.25,-300
-22,137.32,-300
-22,114.1,-300
