latitude,longitude,time_bp
-28.126,120.302,-500
-27.833,114.108,-500
-21.997,114.096,-500
-23.109,113.808,-500
-23.117,113.8,-500
-24.1,113.432,-500
-24.116,113.433,-500
-24.117,113.433,-500
-24.119,113.435,-500
-24.132,113.437,-500
-24.135,113.441,-500
-25.643,113.585,-500
-25.725,113.413,-500
-25.75,112.95,-500
-25.753,113.657,-500
-25.755,113.659,-500
-25.756,113.658,-500
-25.783,113.667,-500
-25.967,113.1,-500
-25.983,114.283,-500
-26.004,113.566,-500
-26.041,113.893,-500
-26.167,113.663,-500
-26.222,113.696,-500
-26.229,113.735,-500
-26.234,113.748,-500
-26.239,113.767,-500
-26.243,113.783,-500
-26.4,113.3,-500
-26.6,113.683,-500
-26.917,117.7,-500
-27.842,114.106,-500
-27.967,134.167,-500
-28.094,115.659,-500
-28.117,115.62,-500
-28.117,115.617,-500
-28.117,120.3,-500
-28.133,117.185,-500
-28.281,122.707,-500
-28.5,137,-500
-29.017,118.317,-500
-29.367,119.367,-500
-29.376,119.372,-500
-29.39,138.782,-500
-29.513,121.631,-500
-29.517,121.633,-500
-29.615,118.115,-500
-29.75,129.25,-500
-29.817,115.133,-500
-30.085,115.091,-500
-30.174,139.273,-500
-30.25,131.25,-500
-30.259,138.376,-500
-30.45,131.667,-500
-30.467,131.667,-500
-30.483,128.667,-500
-30.55,138.417,-500
-30.55,130.967,-500
-30.583,131.25,-500
-30.9,121.317,-500
-30.967,127.067,-500
-30.967,139.283,-500
-31.033,126.8,-500
-31.067,125.333,-500
-31.067,128.75,-500
-31.105,138.903,-500
-31.167,127.95,-500
-31.25,128.483,-500
-31.4,129.833,-500
-31.4,128.583,-500
-31.433,127.183,-500
-31.433,127.867,-500
-31.5,129.917,-500
-31.533,129.1,-500
-31.567,127.233,-500
-31.65,128.483,-500
-31.65,127.433,-500
-31.667,128.483,-500
-31.667,127.233,-500
-31.683,127.717,-500
-31.683,129.033,-500
-31.7,128.483,-500
-31.717,128.483,-500
-31.717,127.233,-500
-31.75,127.017,-500
-31.767,127.8,-500
-31.775,127.8,-500
-31.833,127.717,-500
-31.85,126.733,-500
-31.967,125.917,-500
-31.967,127.033,-500
-31.983,125.867,-500
-31.983,126.5,-500
-31.983,127.033,-500
-32.033,126.183,-500
-32.05,126.033,-500
-32.067,126.033,-500
-32.217,125.883,-500
-32.45,133.667,-500
-32.45,133.65,-500
-32.667,142.333,-500
-33.95,141.95,-500
-34.517,136.267,-500
-31.667,127.433,-500
-27.833,114.1,-500
-25.633,113.583,-500
-28.133,117.183,-500
-32.478,123.839,-500
-32.497,124.635,-500
-32.468,123.399,-500
-31.667,128.75,-500
