latitude,longitude,time_bp
-31.4,138.6,-7720
-31.4,138.6,-7400
-31.4,138.6,-7310
-31.4,138.6,-6930
-31.4,138.6,-6920
-31.4,138.6,-6880
-31.4,138.6,-6800
-31.4,138.6,-6710
-31.4,138.6,-6650
-31.4,138.6,-6610
-31.4,138.6,-6580
-31.4,138.6,-6520
-31.4,138.6,-6290
-31.4,138.6,-5790
-31.4,138.6,-5690
-31.4,138.6,-5020
-31.4,138.6,-3790
-31.4,138.6,-3690
-31.4,138.6,-3640
-31.4,138.6,-3570
-31.4,138.6,-2950
-31.4,138.6,-2430
-31.2,142.6,-2680
-31.2,142.6,-1840
-31.2,142.6,-530
-31.2,142.6,-510
-31.2,142.6,-420
-31.2,142.6,-310
-31.2,142.6,-280
-31.2,142.6,-270
-31.2,142.6,-220
-31.1,142.6,-6520
-31.1,142.6,-6470
-31.1,142.6,-6360
-31.1,142.6,-6360
-31.1,142.6,-5710
-31.1,142.6,-5340
-31.1,142.6,-5240
-31.1,142.6,-3430
-31.1,142.6,-3040
-31.1,142.6,-2960
-31.1,142.6,-1380
-31.1,142.6,-1300
-31.1,142.6,-1000
-31.1,142.6,-460
-31,139.3,-10900
-31,139.3,-10870
-31,139.3,-10630
-31,139.3,-9420
-31,139.3,-9060
-31,139.3,-7260
-31,139.3,-5340
-31,139.3,-1280
-31,139.3,-590
-31,139.3,-470
-31,139.3,-410
-31,139.3,-385
-31,139.3,-230
-30.9,142.6,-780
-30.9,142.6,-380
-30.5,119.7,-1480
-30.5,119.7,-340
-30.3,139.3,-11950
-30.3,139.3,-10850
-30.3,139.3,-10550
-30.3,139.3,-9473
-30.3,139.3,-8820
-30.3,139.3,-7200
-30.3,139.3,-6472
-30.3,139.3,-6380
-30.3,139.3,-5540
-30.3,139.3,-1920
-30.3,139.3,-1300
-30.3,139.3,-1000
-30.3,139.3,-630
-30.3,123.3,-590
-30.3,123.3,-530
-30.3,123.3,-410
-30.3,123.3,-340
-30.3,123.3,-80
-30.1,142.6,-4350
-30.1,142.6,-3670
-30.1,142.6,-2430
-30.1,142.6,-880
-30.1,142.6,-880
-30.1,142.6,-770
-30.1,142.6,-620
-30.1,142.6,-590
-30.1,142.6,-560
-30.1,142.6,-470
-30.1,142.6,-450
-30.1,142.6,0
-28.4,123,-1950
-28.4,123,-20
-27.9,134.3,-1820
-27.9,134.3,-1610
-27.9,134.3,-1540
-27.9,134.3,-1530
-27.9,134.3,-1430
-27.9,134.3,-1130
-27.9,134.3,-1120
-27.9,134.3,-940
-27.9,134.3,-700
-27.9,134.3,-510
-27,133.5,-430
-26.2,127.9,-3430
-25.8,134.2,-3450
-25.8,134.2,-3350
-25.8,134.2,-3330
-25.8,134.2,-3310
-25.8,134.2,-2380
-25.8,134.2,-2330
-25.8,134.2,-2280
-25.8,134.2,-1720
-25.8,134.2,-1470
-25.8,134.2,-1310
-25.8,134.2,-1150
-25.8,134.2,-1140
-25.8,134.2,-610
-25.8,134.2,-510
-25.8,134.2,-410
-25.8,134.2,-360
-25.8,134.2,-360
-25.8,134.2,-310
-25.8,134.2,-300
-25.8,134.2,-250
-25.8,134.2,-200
-25.8,134.2,-170
-25.8,134.2,-80
-25,125,-1150
-25,125,-900
-25,125,-900
-25,125,-800
-25,125,-710
-25,125,-300
-24.4,132.2,360
-24.4,132.2,552
-24.4,132.2,756
-24.4,132.2,988
-24.4,132.2,3090
-24.3,131.7,-3500
-24.3,131.7,-1700
-24,133,-2780
-24,133,-1660
-23.5,134.5,-2400
-23.4,134.7,433
-23.4,134.7,606
-23.4,134.7,835
-23.4,134.7,2500
-22.9,118.9,-31430
-22.9,118.9,-19630
-22.9,118.9,-16870
-22.9,118.9,-15900
-22.9,118.9,-13525
-22.9,118.9,-12495
-22.9,118.9,-12460
-22.9,118.9,-12145
-22.9,118.9,-10760
-22.9,118.9,-10405
-22.9,118.9,-10375
-22.9,118.9,-9720
-22.9,118.9,-9680
-22.9,118.9,-7035
-22.9,118.9,-6890
-22.9,118.9,-6845
-22.9,118.9,-6770
-22.9,118.9,-5395
-22.9,118.9,-5120
-22.9,118.9,-3495
-22.9,118.9,-3230
-22.9,118.9,-2960
-22.9,118.9,-2840
-22.9,118.9,-2810
-22.9,118.9,-2445
-22.9,118.9,-2225
-22.9,118.9,-2080
-22.9,118.9,-1660
-22.9,118.9,-865
-31.4,138.9,-1600
-31.4,138.9,-961
-37.9,142,-400
