latitude,longitude,time_bp
-23,118.9,-27670
-23,118.9,-16280
-23,118.9,-13978
-23,118.9,-13270
-30.3,139.3,-11950
-23,118.9,-11750
-31,139.3,-10900
-31,139.3,-10870
-30.3,139.3,-10870
-30.3,139.3,-10850
-31,139.3,-10630
-30.3,139.3,-10550
-23,118.9,-10500
-23,118.9,-10443
-23,118.9,-9545
-30.3,139.3,-9473
-31,139.3,-9420
-23,118.9,-9250
-31,139.3,-9060
-30.3,139.3,-8820
-23,118.9,-8735
-31.4,138.6,-7720
-31.4,138.6,-7400
-31.4,138.6,-7310
-31,139.3,-7260
-30.3,139.3,-7200
-31.4,138.6,-6930
-31.4,138.6,-6920
-31.4,138.6,-6880
-31.4,138.6,-6800
-31.4,138.6,-6710
-31.4,138.6,-6650
-31.4,138.6,-6610
-31.4,138.6,-6580
-31.4,138.6,-6520
-31.1,142.6,-6520
-30.3,139.3,-6472
-31.1,142.6,-6470
-30.3,139.3,-6380
-31.1,142.6,-6360
-31.1,142.6,-6360
-31.4,138.6,-6290
-31.4,138.6,-5790
-31.1,142.6,-5710
-31.4,138.6,-5690
-30.3,139.3,-5540
-31,139.3,-5340
-31.1,142.6,-5340
-31.1,142.6,-5240
-31.4,138.6,-5020
-23,118.9,-4715
-23,118.9,-4605
-30.1,142.6,-4350
-31.4,138.6,-3790
-31.4,138.6,-3690
-30.1,142.6,-3670
-31.4,138.6,-3640
-31.4,138.6,-3570
-24.3,131.7,-3500
-25.8,134.2,-3450
-26.2,127.9,-3430
-31.1,142.6,-3430
-25.8,134.2,-3350
-25.8,134.2,-3330
-23,118.9,-3315
-25.8,134.2,-3310
-24.4,132.2,-3090
-23,118.9,-3065
-31.1,142.6,-3040
-31.1,142.6,-2960
-31.4,138.6,-2950
-24,133,-2780
-31.2,142.6,-2680
-23.5,134.7,-2500
-31.4,138.6,-2430
-30.1,142.6,-2430
-23.5,134.5,-2400
-25.8,134.2,-2380
-25.8,134.2,-2330
-25.8,134.2,-2280
-23,118.9,-2222
-28.4,123,-1950
-30.3,139.3,-1920
-31.2,142.6,-1840
-27.9,134.3,-1820
-25.8,134.2,-1720
-24.3,131.7,-1700
-24,133,-1660
-27.9,134.3,-1610
-31.4,138.9,-1600
-27.9,134.3,-1540
-27.9,134.3,-1530
-30.5,119.7,-1480
-25.8,134.2,-1470
-27.9,134.3,-1430
-31.1,142.6,-1380
-25.8,134.2,-1310
-30.3,139.3,-1300
-31.1,142.6,-1300
-31,139.3,-1280
-25.1,125,-1150
-25.8,134.2,-1150
-25.8,134.2,-1140
-27.9,134.3,-1130
-27.9,134.3,-1120
-30.3,139.3,-1000
-31.1,142.6,-1000
-24.4,132.2,-988
-31.4,138.9,-961
-27.9,134.3,-940
-25.1,125,-900
-25.1,125,-900
-30.1,142.6,-880
-30.1,142.6,-880
-23.5,134.7,-835
-25.1,125,-800
-30.9,142.6,-780
-30.1,142.6,-770
-24.4,132.2,-756
-25.1,125,-710
-27.9,134.3,-700
-30.3,139.3,-630
-30.1,142.6,-620
-25.8,134.2,-610
-23.5,134.7,-606
-30.3,123.3,-590
-31,139.3,-590
-30.1,142.6,-590
-30.1,142.6,-560
-24.4,132.2,-552
-30.3,123.3,-530
-31.2,142.6,-530
-25.8,134.2,-510
-27.9,134.3,-510
-31.2,142.6,-510
-34.2,142.2,-500
-33.4,136.2,-500
-32.2,125.9,-500
-32.1,126.2,-500
-32.1,126,-500
-32.1,126,-500
-32,127,-500
-32,127,-500
-32,125.9,-500
-31.9,126.7,-500
-31.8,127.7,-500
-31.8,127.8,-500
-31.8,127.8,-500
-31.8,127.8,-500
-31.7,128.5,-500
-31.7,128.5,-500
-31.7,129,-500
-31.7,127.7,-500
-31.7,128.5,-500
-31.7,127.4,-500
-31.7,127.4,-500
-31.7,128.5,-500
-31.6,127,-500
-31.5,129.1,-500
-31.5,129.9,-500
-31.4,127.2,-500
-31.1,128.8,-500
-31,139.3,-500
-30.9,132.2,-500
-30.6,138.4,-500
-30.4,119.7,-500
-30.1,115.1,-500
-29.8,115.1,-500
-29.8,117.4,-500
-29.7,118.3,-500
-29.6,118.1,-500
-29.6,117.3,-500
-29.6,117.4,-500
-29.6,124.6,-500
-29.5,121.6,-500
-29.4,119.4,-500
-29.3,124.7,-500
-29.3,124.6,-500
-29.2,124.5,-500
-29.2,116.8,-500
-29.2,124.5,-500
-29.2,124.5,-500
-29.1,124.6,-500
-29.1,124.6,-500
-29.1,124.6,-500
-29.1,124.6,-500
-29.1,115.6,-500
-29.1,117.3,-500
-28.7,117,-500
-28.3,122.7,-500
-28.1,117.2,-500
-28.1,115.6,-500
-28.1,115.7,-500
-27.6,126.2,-500
-27.4,116.4,-500
-27.2,126.4,-500
-27.2,126.5,-500
-27.2,126.4,-500
-27.1,126.4,-500
-27.1,126.4,-500
-26.9,117.7,-500
-26.9,124.5,-500
-26.9,129.9,-500
-26.8,125.7,-500
-26.8,124.4,-500
-26.7,126.5,-500
-26.7,126.5,-500
-26.7,126.5,-500
-26.6,130.7,-500
-26.6,125.9,-500
-26.6,113.7,-500
-26.6,125.9,-500
-26.6,125.9,-500
-26.5,126,-500
-26.5,126,-500
-26.4,121.1,-500
-26.4,113.3,-500
-26.4,113.9,-500
-26.3,118.4,-500
-26.3,113.9,-500
-26.3,113.9,-500
-26.3,113.9,-500
-26.3,113.9,-500
-26.3,113.9,-500
-26.2,113.8,-500
-26.2,113.8,-500
-26.2,113.4,-500
-26.2,113.7,-500
-26,113.9,-500
-26,113.6,-500
-26,113.9,-500
-26,114.3,-500
-26,133.9,-500
-26,133.9,-500
-25.8,113.7,-500
-25.8,125.9,-500
-25.8,113.7,-500
-25.8,113.7,-500
-25.7,113.4,-500
-25.6,113.6,-500
-25.6,113.6,-500
-25.4,124.4,-500
-25.4,115.1,-500
-25.4,131,-500
-25.4,131,-500
-25.4,131,-500
-25.4,131,-500
-25.1,117.8,-500
-25,125,-500
-24.8,115.4,-500
-24.6,135.8,-500
-24.1,113.4,-500
-24,119.6,-500
-24,133.4,-500
-23.9,137.2,-500
-23.8,137.2,-500
-23.8,131.3,-500
-23.8,130.8,-500
-23.7,134,-500
-23.7,134.8,-500
-23.7,134.3,-500
-23.6,133.9,-500
-23.6,134.4,-500
-23.6,135,-500
-23.6,117.6,-500
-23.4,134.7,-500
-23.1,113.8,-500
-22.8,135.1,-500
-22.4,134.9,-500
-22.2,114,-500
-22.2,114,-500
-22.2,114,-500
-22.1,114,-500
-22,114,-500
-22,137.3,-500
-22,137.3,-500
-22,137.3,-500
-22,114.1,-500
-28.1,120.3,-500
-31,139.3,-470
-30.1,142.6,-470
-31.1,142.6,-460
-30.1,142.6,-450
-23.5,134.7,-433
-27,133.5,-430
-31.2,142.6,-420
-30.3,123.3,-410
-25.8,134.2,-410
-31,139.3,-410
-31,139.3,-385
-30.9,142.6,-380
-24.4,132.2,-360
-25.8,134.2,-360
-25.8,134.2,-360
-30.5,119.7,-340
-30.3,123.3,-340
-25.8,134.2,-310
-31.2,142.6,-310
-25.1,125,-300
-25.8,134.2,-300
-34.2,142.2,-300
-31.2,142.6,-280
-31.2,142.6,-270
-25.8,134.2,-250
-31,139.3,-230
-31.2,142.6,-220
-25.8,134.2,-200
-25.8,134.2,-170
-25.8,134.2,-101
-25.8,134.2,-100
-23.5,134.7,-100
-23.5,134.7,-100
-30.1,142.6,-100
-34.3,142.3,-94
-34.3,142.3,-94
-34.3,142.3,-94
-34.3,142.3,-94
-34.3,142.3,-94
-34.1,141.9,-93
