Site no.,Decimal lat,Decimal long,Region,Remarks,Species,...7,Collector
1,-28.3,122.7,GVD 1,,Leporillus apicalis,,Alex Baynes
21,-29.1,124.6,GVD 1,,Leporillus apicalis,,Alex Baynes
22,-29.1,124.6,GVD 1,,Leporillus apicalis,,Alex Baynes
23,-29.1,124.6,GVD 1,,Leporillus apicalis,,Alex Baynes
28b,-29.1,124.6,GVD 1,,Leporillus apicalis,,Alex Baynes
29b,-29.1,124.6,GVD 1,,Leporillus apicalis,,Alex Baynes
33,-29.2,124.5,GVD 2,,Leporillus apicalis,,Alex Baynes
35a,-29.2,124.5,GVD 2,,Leporillus apicalis,,Alex Baynes
36,-29.2,124.5,GVD 2,,Leporillus apicalis,,Alex Baynes
40,-29.6,124.6,GVD 2,,Leporillus apicalis,,Alex Baynes
41,-29.3,124.6,GVD 2,,Leporillus apicalis,,Alex Baynes
42,-29.3,124.7,GVD 2,,Leporillus apicalis,,Alex Baynes
44,-26.8,124.4,GVD 2,,Leporillus apicalis,,Alex Baynes
45,-26.9,124.5,GVD 2,,Leporillus apicalis,,Alex Baynes
50,-26.8,125.7,GID 1,Note Gibson Desert,Leporillus apicalis,,Alex Baynes
52,-26.6,125.9,GID 1,Note Gibson Desert,Leporillus apicalis,,Alex Baynes
53a,-26.6,125.9,GID 1,Note Gibson Desert,Leporillus apicalis,,Alex Baynes
54,-26.7,126.5,GID 1,Note Gibson Desert,Leporillus apicalis,,Alex Baynes
55,-26.7,126.5,GID 1,Note Gibson Desert,Leporillus apicalis,,Alex Baynes
58,-27.1,126.4,GVD 2,,Leporillus apicalis,,Alex Baynes
59,-27.1,126.4,GVD 2,,Leporillus apicalis,,Alex Baynes
61,-27.2,126.5,GVD 2,,Leporillus apicalis,,Alex Baynes
73,-27.2,126.4,GVD 2,,Leporillus apicalis,,Alex Baynes
77,-27.6,126.2,GVD 2,,Leporillus apicalis,,Alex Baynes
