Identifier,Species,LONG,LAT
Baynes2002,Leporillus apicalis,113.3,-26.4
Baynes2002,Leporillus apicalis,113.4,-24.1
Baynes2002,Leporillus apicalis,113.6,-25.6
Baynes2002,Leporillus apicalis,113.7,-26.6
Baynes2002,Leporillus apicalis,113.8,-23.1
Baynes2002,Leporillus apicalis,114,-22.2
Baynes2002,Leporillus apicalis,114,-22.2
Baynes2002,Leporillus apicalis,114,-22.2
Baynes2002,Leporillus apicalis,114,-22.1
Baynes2002,Leporillus apicalis,114,-22
Baynes2002,Leporillus apicalis,114.3,-26
Baynes2002,Leporillus apicalis,115.2,-25.4
Baynes2002,Leporillus apicalis,115.3,-24.8
Baynes2002,Leporillus apicalis,115.6,-29.1
Baynes2002,Leporillus apicalis,115.6,-28.1
Baynes2002,Leporillus apicalis,116.3,-27.5
Baynes2002,Leporillus apicalis,116.8,-29.2
Baynes2002,Leporillus apicalis,117.2,-23.6
Baynes2002,Leporillus apicalis,117.2,-28.1
Baynes2002,Leporillus apicalis,117.2,-29.6
Baynes2002,Leporillus apicalis,117.7,-26.9
Baynes2002,Leporillus apicalis,117.8,-25.1
Baynes2002,Leporillus apicalis,117.8,-28.6
Baynes2002,Leporillus apicalis,117.9,-24
Baynes2002,Leporillus apicalis,119.4,-29.4
Baynes2002,Leporillus apicalis,119.4,-24
Baynes2002,Leporillus apicalis,119.9,-27
Baynes2002,Leporillus apicalis,120.3,-28.1
Baynes2002,Leporillus apicalis,120.5,-30.1
Baynes2002,Leporillus apicalis,121,-26.4
Baynes2002,Leporillus apicalis,121.6,-29.5
Baynes2002,Leporillus apicalis,122.8,-30.1
Baynes2002,Leporillus apicalis,124.4,-25.4
Baynes2002,Leporillus apicalis,125,-25
13235,Leporillus apicalis,125.9,-26.6
Baynes2002,Leporillus apicalis,125.9,-26.6
12678,Leporillus apicalis,125.9,-32.2
12738,Leporillus apicalis,125.9,-32
Baynes2002,Leporillus apicalis,125.9,-25.8
13233,Leporillus apicalis,125.9,-25.8
Baynes2002,Leporillus apicalis,126,-26.5
13234,Leporillus apicalis,126,-26.5
12788,Leporillus apicalis,126,-32.1
12713,Leporillus apicalis,126,-32.1
12715,Leporillus apicalis,126.2,-32.1
13236,Leporillus apicalis,126.4,-26.7
Baynes2002,Leporillus apicalis,126.4,-26.7
13237,Leporillus apicalis,126.5,-27.2
Baynes2002,Leporillus apicalis,126.5,-27.2
12725,Leporillus apicalis,126.7,-31.9
12723,Leporillus apicalis,127,-31.6
12727,Leporillus apicalis,127,-32
12785,Leporillus apicalis,127,-32
12747,Leporillus apicalis,127.2,-31.4
12695,Leporillus apicalis,127.4,-31.7
12721,Leporillus apicalis,127.4,-31.7
12718,Leporillus apicalis,127.7,-31.8
12750,Leporillus apicalis,127.7,-31.7
12768,Leporillus apicalis,127.8,-31.8
12716,Leporillus apicalis,127.8,-31.8
12781,Leporillus apicalis,127.8,-31.8
12743,Leporillus apicalis,128.5,-31.7
12755,Leporillus apicalis,128.5,-31.7
12753,Leporillus apicalis,128.5,-31.7
12783,Leporillus apicalis,128.5,-31.7
12762,Leporillus apicalis,128.7,-31.1
12759,Leporillus apicalis,129,-31.7
12757,Leporillus apicalis,129.1,-31.5
12644,Leporillus apicalis,129.9,-31.5
105480,Leporillus apicalis,129.9,-26.9
12700,Leporillus apicalis,130.7,-26.6
NPC NT 2002,Leporillus apicalis,130.8,-23.8
NPC NT 2002,Leporillus apicalis,131,-25.4
NPC NT 2002,Leporillus apicalis,131,-25.4
NPC NT 2002,Leporillus apicalis,131,-25.4
NPC NT 2002,Leporillus apicalis,131,-25.4
NPC NT 2002,Leporillus apicalis,131.3,-23.8
12674,Leporillus apicalis,132.2,-30.9
NPC NT 2002,Leporillus apicalis,133.4,-24
NPC NT 2002,Leporillus apicalis,133.9,-26
NPC NT 2002,Leporillus apicalis,133.9,-23.6
NPC NT 2002,Leporillus apicalis,133.9,-26
NPC NT 2002,Leporillus apicalis,134,-23.7
NPC NT 2002,Leporillus apicalis,134.3,-23.7
NPC NT 2002,Leporillus apicalis,134.4,-23.6
NPC NT 2002,Leporillus apicalis,134.7,-23.4
NPC NT 2002,Leporillus apicalis,134.8,-23.7
NPC NT 2002,Leporillus apicalis,134.9,-22.4
NPC NT 2002,Leporillus apicalis,135,-23.6
NPC NT 2002,Leporillus apicalis,135.1,-22.8
NPC NT 2002,Leporillus apicalis,135.8,-24.6
12684,Leporillus apicalis,136.2,-33.4
NPC NT 2002,Leporillus apicalis,137.2,-23.9
NPC NT 2002,Leporillus apicalis,137.2,-23.8
NPC NT 2002,Leporillus apicalis,137.2,-22
NPC NT 2002,Leporillus apicalis,137.2,-22
NPC NT 2002,Leporillus apicalis,137.3,-22
12661,Leporillus apicalis,138.4,-30.6
12659,Leporillus apicalis,139.3,-31
12688,Leporillus apicalis,142.2,-34.2
12575,Leporillus apicalis,142.2,-34.2
Baynes2002,Leporillus conditor,113,-25.8
Baynes2002,Leporillus conditor,113.1,-26
Baynes2002,Leporillus conditor,113.3,-26.4
Baynes2002,Leporillus conditor,113.4,-24.1
Baynes2002,Leporillus conditor,113.6,-25.6
Baynes2002,Leporillus conditor,113.7,-26.6
Baynes2002,Leporillus conditor,113.8,-23.1
Baynes2002,Leporillus conditor,114.1,-27.8
Baynes2002,Leporillus conditor,114.3,-26
Baynes2002,Leporillus conditor,115.6,-28.1
Baynes2002,Leporillus conditor,117.2,-28.1
Baynes2002,Leporillus conditor,117.7,-26.9
Baynes2002,Leporillus conditor,118.3,-29
Baynes2002,Leporillus conditor,119.4,-29.4
Baynes2002,Leporillus conditor,120.3,-28.1
Baynes2002,Leporillus conditor,121.3,-30.9
Baynes2002,Leporillus conditor,121.6,-29.5
12708,Leporillus conditor,125.3,-31.1
12787,Leporillus conditor,125.9,-32
12679,Leporillus conditor,125.9,-32.2
12739,Leporillus conditor,125.9,-32
12789,Leporillus conditor,126,-32.1
12714,Leporillus conditor,126,-32.1
12712,Leporillus conditor,126.2,-32
12740,Leporillus conditor,126.5,-32
12726,Leporillus conditor,126.7,-31.9
12720,Leporillus conditor,126.8,-31
12724,Leporillus conditor,127,-31.8
12728,Leporillus conditor,127,-32
12786,Leporillus conditor,127,-32
12742,Leporillus conditor,127.1,-31
12748,Leporillus conditor,127.2,-31.4
12765,Leporillus conditor,127.2,-31.7
12764,Leporillus conditor,127.2,-31.7
12741,Leporillus conditor,127.2,-31.6
12696,Leporillus conditor,127.4,-31.7
12722,Leporillus conditor,127.4,-31.7
12719,Leporillus conditor,127.7,-31.8
12751,Leporillus conditor,127.7,-31.7
12769,Leporillus conditor,127.8,-31.8
12717,Leporillus conditor,127.8,-31.8
12782,Leporillus conditor,127.8,-31.8
12745,Leporillus conditor,127.9,-31.4
12761,Leporillus conditor,127.9,-31.2
12744,Leporillus conditor,128.5,-31.7
12746,Leporillus conditor,128.5,-31.3
12756,Leporillus conditor,128.5,-31.7
12754,Leporillus conditor,128.5,-31.7
12784,Leporillus conditor,128.5,-31.7
12752,Leporillus conditor,128.6,-31.4
13238,Leporillus conditor,128.7,-30.5
Baynes2002,Leporillus conditor,128.7,-30.5
