name,LAT,LONG,Species,Collector,Site description
Roaches Rest Cave,-31.6,127.2,conditor,J.W.J. Lowry Aug. 1966; K.A. Lance Jan. 1976,
Horseshoe Cave,-31.6,127.4,conditor,"M. Archer, B.G. Muir & K. Akerman 1969 to 1970",
Abrakurrie Cave,-31.7,127.4,conditor,"J.W.J. Lowry Sept.-Oct. 1966, J. Bywater Dec. 1969 and A.D. Jones Jan. 1976.",
Cocklebiddy Cave,-32,125.9,conditor,"D.C. Lowry Dec. 1965, D.C. & J.W.J. Lowry Jan. 1966.",
Unnamed,-32.5,123.8,conditor,"Murray Thomas et al., Dec. 1971; A. Baynes and R.P. Hart Apr. 1984.",Sinkhole 3.3 km SW of Balladonia Station homestead. Small figure-of-eight shaped entrance. Vertical solution pipe about 7 m to small circular chamber with small southern extension.
Warbla Cave,-31.5,129.1,conditor,"J.H.J. Lowry Nov. 1968, J. Bywater Dec. 1969",
Thylacine Hole,-31.7,127.7,conditor,J.W.J. Lowry 1966.,
Firestick Cave,-31.8,127,conditor,"P. Cawthorn Jan. 1961, D.L. Cook Jan. 1962, J.W.J. Lowry Oct. 1966",
Dingo Cave,-31.9,126.7,conditor,"R.C. Hyslop and D.F. Petchell Aug. 1967, J.H.J. Lowry Oct. 1968, M. Thomas et al. Jan 1972",
Murra-el-elevyn Cave,-32.1,126,conditor,"E.L. Lundelius and G.W. Kendrick, 1954-55, J.H. Partridge 1964, J.W.J. Lowry 1966, P.J. Bridge 1967, A. Baynes and P.J. Bridge 1967.",
Unnamed,-32.5,124.6,conditor,R.P. Hart and A. Baynes Apr. 1984,"Sinkhole on northern side of track across Hampton Tableland at M.R. 552033 Price 1:100,000 sheet. Vertical solution pipe about 7 m to small round chamber."
Unnamed,-32.5,123.4,conditor,A. Baynes and R.P. Hart Apr. 1984,Very small breakaway on north shore of salt lake S. of old Telegraph line in Dundas Nature Reserve
Weebubbie Cave,-31.7,128.8,conditor,J.W.J. Lowry 1966.,
Unnamed,-31.7,129,conditor,J.W.J. Lowry 1966.,Overhang in cliffs 1.2 miles E. of Wilsons Bluff cairn
Winbirra Cave,-31.7,128.5,conditor,J.W.J. Lowry 1966.,
Kutowalla Doline,-31.7,128.5,conditor,J.W.J. Lowry 1966.,
Webbs Cave,-31.8,127.8,conditor,"D.L. Cook Jan. 1962, A. Baynes, P.J. Bridge and M. Gregson Mar. 1967, M. Thomas et al. Jan 1972",
Witches Cave,-31.8,127.7,conditor,K.A. Lance Jan. 1976,
Telegraph Cave,-32.2,125.9,conditor,A.J. Carlisle 1966,
Madura Six Mile South Cave,-32,127,conditor,"D.L. Cook Dec. 1961, D.C. & J.W.J. Lowry Jan. 1966",
Unnamed,-29.8,129.2,conditor,A.J. Carlisle Nov. 1975,"A group of seven caves ""100 miles north-east Forrest (approx.)"", of which four yielded material"
Lynch Cave,-31,127.1,conditor,J.W.J. Lowry Aug. 1966; W.H. Butler Jul. 1967,
Unnamed,-31,126.8,conditor,H.H. Butler Jul. 1967.,"Cave ""15 miles S. of W. of Loongana"
Unnamed,-31.1,125.3,conditor,K.J. Marshall 1968.,"Cave ""5 miles S. of Rawlinna""."
Old Homestead Cave,-31.2,128,conditor,J.W.J. Lowry 1966.,
Unnamed,-31.2,128.5,conditor,J.W.J. Lowry 1966.,
Unnamed,-31.4,128.6,conditor,J.W.J. Lowry 1966.,
Skinkhole,-31.4,127.9,conditor,J.W.J. Lowry 1966.,
Unnamed,-31.4,127.2,conditor,J.W.J. Lowry 1966.,
Mullamullang Cave,-31.7,127.2,conditor,"J.W.J. Lowry 1966., P.J. Bridge 1966",
Pannikin Plain Cave,-32,126.2,conditor,"G. Zeck Dec. 196D, D.C. & J.H.J. Lowry Dec. 1965, D.L. Cook date unknown",
Moonera Tank Cave,-32,126.5,conditor,J.W.J. Lowry 1965.,
Roaches Rest Cave,-31.6,127.2,apicalis,J.W.J. Lowry Aug. 1966; K.A. Lance Jan. 1976,
Horseshoe Cave,-31.6,127.4,apicalis,"M. Archer, B.G. Muir & K. Akerman 1969 to 1970",
Abrakurrie Cave,-31.7,127.4,apicalis,"J.W.J. Lowry Sept.-Oct. 1966, J. Bywater Dec. 1969 and A.D. Jones Jan. 1976.",
Cocklebiddy Cave,-32,125.9,apicalis,"D.C. Lowry Dec. 1965, D.C. & J.W.J. Lowry Jan. 1966.",
Unnamed,-32.5,123.8,apicalis,"Murray Thomas et al., Dec. 1971; A. Baynes and R.P. Hart Apr. 1984.",Sinkhole 3.3 km SW of Balladonia Station homestead. Small figure-of-eight shaped entrance. Vertical solution pipe about 7 m to small circular chamber with small southern extension.
Warbla Cave,-31.5,129.1,apicalis,"J.H.J. Lowry Nov. 1968, J. Bywater Dec. 1969",
Thylacine Hole,-31.7,127.7,apicalis,J.W.J. Lowry 1966.,
Firestick Cave,-31.8,127,apicalis,"P. Cawthorn Jan. 1961, D.L. Cook Jan. 1962, J.W.J. Lowry Oct. 1966",
Dingo Cave,-31.9,126.7,apicalis,"R.C. Hyslop and D.F. Petchell Aug. 1967, J.H.J. Lowry Oct. 1968, M. Thomas et al. Jan 1972",
Murra-el-elevyn Cave,-32.1,126,apicalis,"E.L. Lundelius and G.W. Kendrick, 1954-55, J.H. Partridge 1964, J.W.J. Lowry 1966, P.J. Bridge 1967, A. Baynes and P.J. Bridge 1967.",
Unnamed,-32.5,124.6,apicalis,R.P. Hart and A. Baynes Apr. 1984,"Sinkhole on northern side of track across Hampton Tableland at M.R. 552033 Price 1:100,000 sheet. Vertical solution pipe about 7 m to small round chamber."
Unnamed,-32.5,123.4,apicalis,A. Baynes and R.P. Hart Apr. 1984,Very small breakaway on north shore of salt lake S. of old Telegraph line in Dundas Nature Reserve
Weebubbie Cave,-31.7,128.8,apicalis,J.W.J. Lowry 1966.,
Unnamed,-31.7,129,apicalis,J.W.J. Lowry 1966.,Overhang in cliffs 1.2 miles E. of Wilsons Bluff cairn
Winbirra Cave,-31.7,128.5,apicalis,J.W.J. Lowry 1966.,
Kutowalla Doline,-31.7,128.5,apicalis,J.W.J. Lowry 1966.,
Webbs Cave,-31.8,127.8,apicalis,"D.L. Cook Jan. 1962, A. Baynes, P.J. Bridge and M. Gregson Mar. 1967, M. Thomas et al. Jan 1972",
Witches Cave,-31.8,127.7,apicalis,K.A. Lance Jan. 1976,
Telegraph Cave,-32.2,125.9,apicalis,A.J. Carlisle 1966,
Madura Six Mile South Cave,-32,127,apicalis,"D.L. Cook Dec. 1961, D.C. & J.W.J. Lowry Jan. 1966",
Twin Level Cave,-32.6,124.8,apicalis,A. Baynes and R.P. Hart Apr. 1984,
Tommy Grahams Cave,-32.1,126.2,apicalis,"G.W. Kendrick and G. Hitchin May 1966, A.J. Carlisle 1966 and 1967.",
