latitude,longitude,time_bp
-31.050985,141.840562,1
-30.449796,136.880862,1
-25.121167,135.501929,1
-26.052582,135.252342,1
-29.102074,141.021635,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.13741,135.42981,1
-25.13741,135.42981,1
-25.07553,135.40324,1
-24.39777,135.16578,1
-24.39777,135.16578,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-24.39777,135.16578,1
-24.53502,135.35154,1
-25.13741,135.42981,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-24.53502,135.35154,1
-25.07553,135.40324,1
-25.13741,135.42981,1
-24.53502,135.35154,1
-24.39777,135.16578,1
-25.07553,135.40324,1
-25.051535,135.42811,1
-25.051535,135.42811,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.13741,135.42981,1
-24.39777,135.16578,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-24.05154,135.42811,1
-24.39777,135.16578,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.1178,135.5139,1
-24.39777,135.16578,1
-25.1178,135.5139,1
-25.12383,135.40211,1
-25.051535,135.42811,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.535023,135.351537,1
-25.07553,135.40324,1
-24.05154,135.42811,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-24.05154,135.42811,1
-25.12383,135.40211,1
-25.765263,134.301283,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-24.39777,135.16578,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.05073,135.44424,1
-25.12383,135.40211,1
-25.13741,135.42981,1
-25.07553,135.40324,1
-24.13836,135.33045,1
-25.397775,135.165783,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.13741,135.42981,1
-25.13741,135.42981,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-24.53502,135.35154,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-24.05154,135.42811,1
-25.397775,135.165783,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.397775,135.165783,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.1178,135.5139,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.397775,135.165783,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.051535,135.42811,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-24.39777,135.16578,1
-24.05154,135.42811,1
-25.093037,135.486521,1
-25.12383,135.40211,1
-24.05154,135.42811,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.13741,135.42981,1
-25.13741,135.42981,1
-25.1178,135.5139,1
-25.11557,135.40762,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.1178,135.5139,1
-25.535023,135.351537,1
-25.12383,135.40211,1
-24.39777,135.16578,1
-25.12383,135.40211,1
-25.397775,135.165783,1
-25.12383,135.40211,1
-25.138362,135.330446,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.12383,135.40211,1
-25.07553,135.40324,1
-25.397775,135.165783,1
-25.07553,135.40324,1
-25.07553,135.40324,1
-25.12383,135.40211,1
-25.12383,135.40211,1
