Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
20000,-7.81904229058,-4.96750238207,-3.39594429864,-1.5928674825,-0.680425516764,-3.39542065207
19990,-7.85162523058,-4.95411357456,-3.37707027859,-1.70023951213,-0.670367601183,-3.39622044629
19980,-7.7694636027,-4.86705104404,-3.18365520901,-1.7961070421,-0.658720228407,-3.29425876387
19970,-7.60605875651,-5.16225388421,-3.56090986464,-1.85135385301,-0.586145189073,-3.55730632396
19960,-7.73455047607,-5.29191267225,-3.78322719998,-1.95821884155,-0.774983723958,-3.69312005604
19950,-7.76500617133,-5.53527115716,-3.82672814263,-2.02100889418,-0.816195000543,-3.79640922252
19940,-7.66825680203,-5.84327511258,-3.99468943278,-2.03793799506,-0.639789835612,-3.9282567557
19930,-7.70071495904,-5.10035642836,-3.7847629971,-2.01427778456,-0.68778652615,-3.72198021805
19920,-7.69202931722,-5.17004549662,-3.64186079237,-1.96556296455,-0.728283521864,-3.65141286769
19910,-7.90333947076,-4.85863915337,-3.2831882053,-1.87262942844,-1.06288859049,-3.3538774982
19900,-7.92350446913,-4.91007163154,-3.30428127713,-1.69665550232,-1.06000823975,-3.3685195275
19890,-7.9368206448,-5.06081828647,-3.47693083021,-1.84000500149,-0.925603908963,-3.50284589831
19880,-7.89712999132,-5.028011144,-3.45758226183,-1.82967418247,-1.02968614366,-3.53140032343
19870,-7.769940016,-4.84511021084,-3.58262371487,-1.94979814317,-0.808897399902,-3.49102446062
19860,-7.7396045261,-4.84168464661,-3.30328080919,-1.94979033576,-0.841795179579,-3.25704739637
19850,-7.79594184028,-4.88677992927,-3.30951690674,-1.81409556919,-0.934162394206,-3.28639255584
19840,-7.87064700656,-5.08033099704,-3.35602416992,-1.77430007935,-1.0295779758,-3.3345710783
19830,-7.92742360433,-5.12630003187,-3.34877929688,-1.92944647895,-1.06105855306,-3.37144065605
19820,-7.86003282335,-5.31215391371,-3.43301289876,-2.01735658434,-1.05117289225,-3.46297695398
19810,-7.78078986274,-5.21469776577,-3.42754584418,-1.91237840441,-1.05794270833,-3.44100851826
19800,-7.6815161811,-5.11582263523,-3.44523654514,-1.86385669284,-0.969545152452,-3.46585855211
19790,-7.64071824816,-5.15591237386,-3.50367677477,-1.88134860569,-0.967094930013,-3.50920945873
19780,-7.70233222114,-5.06984208849,-3.60114101834,-1.97460822211,-0.971773444282,-3.52785923744
19770,-7.74450717502,-5.36739678277,-3.70179740058,-2.01960640801,-0.937946065267,-3.64746420436
19760,-7.83487870958,-5.19338876512,-3.68302561442,-2.01048854404,-1.05578189426,-3.57780965681
19750,-7.91547003852,-5.17833106995,-3.50179960463,-2.00980712891,-1.08939971924,-3.49267674279
19740,-7.93822937012,-5.02457930671,-3.29301418728,-1.74987317403,-1.17260521783,-3.29959687832
19730,-7.91656901042,-4.98249856737,-3.25993398031,-1.75313759698,-1.06252983941,-3.31966921177
19720,-7.79364301893,-5.23528688219,-3.61906365289,-1.89299443563,-0.989258490668,-3.58907134404
19710,-7.83066423204,-5.37864876641,-3.92549582587,-2.0280516137,-0.976007588704,-3.7888036789
19700,-7.74870588515,-5.26112284342,-3.67857708401,-1.95609812419,-1.05449812147,-3.63746986761
19690,-7.86264004178,-5.21470710754,-3.37914827135,-1.83832981533,-1.06822170681,-3.4228134383
19680,-7.80973425971,-5.03657393561,-3.35568635729,-1.52350218879,-1.06956634521,-3.33450734123
19670,-7.86530015734,-5.13450514052,-3.45375849406,-1.97448071798,-1.01491834852,-3.50861441888
19660,-7.80424109565,-5.02362204658,-3.440707567,-2.01524727715,-1.022297838,-3.44174324161
19650,-7.87201690674,-5.03056159973,-3.47507578532,-2.03429615445,-1.00906626383,-3.51374719254
