"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","relationshipAccordingTo","subfamily","resourceRelationshipID","eventType","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","superfamily","identifierRole","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336929","4336929","","Staff Others (non departmental)","1","","","","","","","","PRESENT","","","","","","","","","","","","b2b9ca3e-e6f4-4707-9c58-8961520d60a6","","","","","","","","1928-01-01T00:00:00Z","","1","1","1928","1","1","","","General observations","","","","","","528674","","","","","","","Australia","AU","Victoria","","","5' BLOCK CONTAINING KOORKAB","","60.0","60.0","","","","","","","","","-34.79017","143.1263","EPSG:4326","4500.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","699577d4-fe62-4efa-8317-1f7381be9a8e","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336927","4336927","","Staff Others (non departmental)","1","","","","","","","","PRESENT","","","","","","","","","","","","0dd8d2aa-f934-4bc3-99c5-7c8064df4050","","","","","","","","1856-01-01T00:00:00Z","","1","1","1856","1","1","","","General observations","","","","","","528673","","","","","","","Australia","AU","New South Wales","","","Bottle bend","","40.0","40.0","","","","","","","","","-34.2485","142.33463","EPSG:4326","9000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","ca00e7b1-8f18-4879-b8d2-44a22299d4cb","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336924","4336924","","Staff Others (non departmental)","1","","","","","","","","PRESENT","","","","","","","","","","","","f3e6ef3a-dd93-4b94-89e5-4a1dead43539|fb30a1ed-2cb1-44cc-b7a6-3d6875104840|d508c100-e4ff-4c04-b8f6-177252602716|ca00e7b1-8f18-4879-b8d2-44a22299d4cb","","","","","","","","1856-01-01T00:00:00Z","","1","1","1856","1","1","","","General observations","","","","","","528673","","","","","","","Australia","AU","New South Wales","","","Bottle bend","","40.0","40.0","","","","","","","","","-34.2485","142.33463","EPSG:4326","9000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","0dd8d2aa-f934-4bc3-99c5-7c8064df4050","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336930","4336930","","Not Supplied","3","","","","","","","","PRESENT","","","","","","","","","","","","699577d4-fe62-4efa-8317-1f7381be9a8e","","","","","","","","1928-01-01T00:00:00Z","","1","1","1928","1","1","","","General observations","","","","","","528674","","","","","","","Australia","AU","Victoria","","","5' BLOCK CONTAINING KOORKAB","","60.0","60.0","","","","","","","","","-34.79017","143.1263","EPSG:4326","4500.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","b2b9ca3e-e6f4-4707-9c58-8961520d60a6","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336928","4336928","","Staff Others (non departmental)","3","","","","","","","","PRESENT","","","","","","","","","","","","0dd8d2aa-f934-4bc3-99c5-7c8064df4050","","","","","","","","1856-01-01T00:00:00Z","","1","1","1856","1","1","","","General observations","","","","","","528673","","","","","","","Australia","AU","New South Wales","","","Bottle bend","","40.0","40.0","","","","","","","","","-34.2485","142.33463","EPSG:4326","9000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","f3e6ef3a-dd93-4b94-89e5-4a1dead43539","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336925","4336925","","Staff Others (non departmental)","13","","","","","","","","PRESENT","","","","","","","","","","","","0dd8d2aa-f934-4bc3-99c5-7c8064df4050","","","","","","","","1856-01-01T00:00:00Z","","1","1","1856","1","1","","","General observations","","","","","","528673","","","","","","","Australia","AU","New South Wales","","","Bottle bend","","40.0","40.0","","","","","","","","","-34.2485","142.33463","EPSG:4326","9000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","fb30a1ed-2cb1-44cc-b7a6-3d6875104840","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336931","4336931","","Staff Others (non departmental)","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","1856-01-01T00:00:00Z","","1","1","1856","1","1","","","General observations","","","","","","528673","","","","","","","Australia","AU","New South Wales","","","Bottle bend","","40.0","40.0","","","","","","","","","-34.2485","142.33463","EPSG:4326","9000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/0aa74239-0832-4a47-8bcb-959fc021f485","Leporillus conditor","Leporillus conditor","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Sturt, 1848)","Greater Stick-nest Rat","","","","","","","","","Leporillus conditor","","","","","","","","","","","","","","","","","7ac7f308-f42f-436c-8eee-5b70ba14466d","","","","","","","","","","","Event"
"dr1097","","2022-10-24","","CC-BY 4.0 (Int)","","","","","","","c83ee307-f721-5958-a610-b38b730fbe7a","","","Victorian Biodiversity Atlas flora records (unrestricted) for sites with high spatial accuracy","","HUMAN_OBSERVATION","","","","4336926","4336926","","Staff Others (non departmental)","5","","","","","","","","PRESENT","","","","","","","","","","","","0dd8d2aa-f934-4bc3-99c5-7c8064df4050","","","","","","","","1856-01-01T00:00:00Z","","1","1","1856","1","1","","","General observations","","","","","","528673","","","","","","","Australia","AU","New South Wales","","","Bottle bend","","40.0","40.0","","","","","","","","","-34.2485","142.33463","EPSG:4326","9000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/61403a2b-8537-46e1-91cf-672d02be62b3","Leporillus apicalis","Leporillus apicalis","","","","","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","","","species","","(Gould, 1853)","Lesser Stick-nest Rat","","","","","","","","","Leporillus apicalis","","","","","","","","","","","","","","","","","d508c100-e4ff-4c04-b8f6-177252602716","","","","","","","","","","","Event"
"dr340","","","","CC-BY 3.0 (Au)","","","","","","","","AM","Mammalogy","","","PRESERVED_SPECIMEN","","","{""dcterms:type"":""PhysicalObject"",""dcterms:modified"":""2015/5/20""}","urn:lsid:ozcam.taxonomy.org.au:AM:Mammalogy:M.3058","M.3058","","Le Souef, A S","","","","FEMALE","","","","","PRESENT","","","","","","","ecatalogue.irn:4024030 | urn:catalog:AM:Mammalogy:M.3058","","","","","","","","","","urn:australianmuseum.net.au:Events:4004543","","","1921-07-01T00:00:00Z","","182","182","1921","7","1","","","","","","","","","","","","","","","","Australia","AU","South Australia","","","","FISHER TRANS AUST RAILWAY","","","","","","","","","","ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, FISHER TRANS AUST RAILWAY (30° 33' S, 130° 58' E) 01/07/1921 - 01/07/1921, Accession"";","-30.55","130.966","EPSG:4326","","0.001","","","30° 33' S","130° 58' E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/0aa74239-0832-4a47-8bcb-959fc021f485","Leporillus conditor (Sturt, 1848)","Leporillus conditor","Leporillus conditor (Sturt, 1848)","","","(Sturt, 1848)","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","conditor","","species","","(Sturt, 1848)","Greater Stick-nest Rat","","","","","","","","","Leporillus conditor","","","","","","","","","","","","","","","Published dataset","","a765a904-3e71-486f-b720-661135b02633","","","","","","","","","","",""
"dr340","","","","CC-BY 3.0 (Au)","","","","","","","","AM","Mammalogy","","","PRESERVED_SPECIMEN","","","{""dcterms:type"":""PhysicalObject"",""dcterms:modified"":""2015/6/12""}","urn:lsid:ozcam.taxonomy.org.au:AM:Mammalogy:S.1879","S.1879","","TROUGHTON AND J H WRIGHT","","","","","","","","","PRESENT","","","","","","","ecatalogue.irn:4040738 | urn:catalog:AM:Mammalogy:S.1879","","","","","","","","","","urn:australianmuseum.net.au:Events:4005179","","","","","","","1921","","","","","","","","","","","","","","","","","","Australia","AU","South Australia","","","","FISHER E W LINE","","","","","","","","","","ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, FISHER E W LINE (30° 33' S, 130° 58' E) 1921 - 1921, Field Collected - Terrestrial"";","-30.55","130.966","EPSG:4326","","0.001","","","30° 33' S","130° 58' E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://biodiversity.org.au/afd/taxa/0aa74239-0832-4a47-8bcb-959fc021f485","Leporillus conditor (Sturt, 1848)","Leporillus conditor","Leporillus conditor (Sturt, 1848)","","","(Sturt, 1848)","","","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Leporillus","","conditor","","species","","(Sturt, 1848)","Greater Stick-nest Rat","","","","","","","","","Leporillus conditor","","","","","","","","","","","","","","","Published dataset","","2df1e3e8-be53-4e32-9e5c-42b3391cb110","","","","","","","","","","",""
