Site no.,Decimal lat,Decimal long,Region,Remarks,Species
1,-28.28,122.71,GVD 1,,Leporillus apicalis
21,-29.09,124.6,GVD 1,,Leporillus apicalis
22,-29.09,124.6,GVD 1,,Leporillus apicalis
23,-29.09,124.62,GVD 1,,Leporillus apicalis
28b,-29.13,124.64,GVD 1,,Leporillus apicalis
29b,-29.13,124.64,GVD 1,,Leporillus apicalis
33,-29.18,124.48,GVD 2,,Leporillus apicalis
35a,-29.18,124.48,GVD 2,,Leporillus apicalis
36,-29.22,124.52,GVD 2,,Leporillus apicalis
40,-29.56,124.59,GVD 2,,Leporillus apicalis
41,-29.33,124.58,GVD 2,,Leporillus apicalis
42,-29.33,124.74,GVD 2,,Leporillus apicalis
44,-26.77,124.37,GVD 2,,Leporillus apicalis
45,-26.9,124.47,GVD 2,,Leporillus apicalis
50,-26.83,125.65,GID 1,Note Gibson Desert,Leporillus apicalis
52,-26.6,125.86,GID 1,Note Gibson Desert,Leporillus apicalis
53a,-26.6,125.86,GID 1,Note Gibson Desert,Leporillus apicalis
54,-26.7,126.45,GID 1,Note Gibson Desert,Leporillus apicalis
55,-26.69,126.45,GID 1,Note Gibson Desert,Leporillus apicalis
58,-27.06,126.37,GVD 2,,Leporillus apicalis
59,-27.06,126.36,GVD 2,,Leporillus apicalis
61,-27.22,126.47,GVD 2,,Leporillus apicalis
73,-27.24,126.44,GVD 2,,Leporillus apicalis
77,-27.62,126.16,GVD 2,,Leporillus apicalis
