Species,Identifier,Longitude,Latitude,Site
Leporillus apicalis,12575,142.183326,-34.166670,
Leporillus apicalis,12644,129.916660,-31.500004,
Leporillus apicalis,12659,139.283329,-30.966670,
Leporillus apicalis,12661,138.366661,-30.583334,
Leporillus apicalis,12674,132.166661,-30.866670,
Leporillus apicalis,12678,125.883326,-32.216670,
Leporillus apicalis,12684,136.166660,-33.433340,
Leporillus apicalis,12688,142.166664,-34.183342,
Leporillus apicalis,12695,127.433326,-31.650001,
Leporillus apicalis,12700,130.666663,-26.616673,
Leporillus apicalis,12713,126.033329,-32.066675,
Leporillus apicalis,12715,126.183333,-32.100000,
Leporillus apicalis,12716,127.799996,-31.766670,
Leporillus apicalis,12718,127.716661,-31.833335,
Leporillus apicalis,12721,127.433326,-31.650001,
Leporillus apicalis,12723,127.016661,-31.583339,
Leporillus apicalis,12725,126.733326,-31.850008,
Leporillus apicalis,12727,127.033325,-31.966673,
Leporillus apicalis,12738,125.916666,-31.966670,
Leporillus apicalis,12743,128.483324,-31.666673,
Leporillus apicalis,12747,127.183330,-31.433337,
Leporillus apicalis,12750,127.716661,-31.683341,
Leporillus apicalis,12753,128.483332,-31.716674,
Leporillus apicalis,12755,128.483329,-31.700001,
Leporillus apicalis,12757,129.099999,-31.533337,
Leporillus apicalis,12759,129.033330,-31.683342,
Leporillus apicalis,12762,128.749990,-31.066675,
Leporillus apicalis,12768,127.799994,-31.775005,
Leporillus apicalis,12781,127.799996,-31.766670,
Leporillus apicalis,12783,128.483332,-31.650001,
Leporillus apicalis,12785,127.033329,-31.983341,
Leporillus apicalis,12788,126.033327,-32.050003,
Leporillus apicalis,13233,125.933331,-25.766668,
Leporillus apicalis,13234,126.033327,-26.516675,
Leporillus apicalis,13235,125.866665,-26.600004,
Leporillus apicalis,13236,126.449998,-26.700006,
Leporillus apicalis,105480,129.932924,-26.893581,
Leporillus apicalis,A SOOS,134.33,-23.66,
Leporillus apicalis,A SOOS,134.43,-23.63,
Leporillus apicalis,AJ BRIDGES,134.73,-23.44,
Leporillus apicalis,Baynes & Jones (1993),114,-22.217,"Unnamed cave, Cape Range"
Leporillus apicalis,Baynes & Jones (1993),113.983,-22.2,"Two Hundred Cave, Cape Range"
Leporillus apicalis,Baynes & Jones (1993),113.983,-22.183,"Owl Roost Cave, Cape Range"
Leporillus apicalis,Baynes & Jones (1993),114,-22.133,"Unnamed cave, Cape Range"
Leporillus apicalis,Baynes & Jones (1993),114.033,-22.017,"Unnamed cave, Cape Range"
Leporillus apicalis,Baynes (1979),115.0914,-30.0853,"Hastings Cave, Jurien, northern Swan Coastal Plain"
Leporillus apicalis,Baynes (1984),117.7,-26.917,"Wilgie Mia ochre mine, Murchison"
Leporillus apicalis,Baynes (2000),116.767,-29.2,"Breakaway behind arch, Karara Station"
Leporillus apicalis,Baynes (2000),115.583,-29.083,Rockshelter on Merkanooka Stn
Leporillus apicalis,Baynes (2000),117.1847,-28.1333,Breakaway in Narring Range
Leporillus apicalis,Baynes (2000),116.433,-27.367,Breakaways on Murgoo Stn
Leporillus apicalis,Baynes (2000a),113.683,-26.6,Baba Head (Shark Bay)
Leporillus apicalis,Baynes (2000a),113.3,-26.4,False Entrance Well (Shark Bay)
Leporillus apicalis,Baynes (2000a),113.3731,-26.2111,Heirisson Prong (Shark Bay)
Leporillus apicalis,Baynes (2000a),114.283,-25.983,Bluffs near Yaringa lookout
Leporillus apicalis,Baynes (2000a),113.5847,-25.6431,"Herald Bluff, Peron Peninsula (Shark Bay)"
Leporillus apicalis,Baynes (2000a),113.5772,-25.6406,"Herald Bluff, Peron Peninsula (Shark Bay)"
Leporillus apicalis,Baynes (2000a),115.1439,-25.3542,Breakaway on Winderie Stn
Leporillus apicalis,Baynes (2000a),115.355,-24.7633,"Mesa near Tabletop Well, Gascoyne"
Leporillus apicalis,Baynes (2000a),113.4331,-24.1156,Coastal cliffs 13.0 km NE of Cape Cuvier
Leporillus apicalis,Baynes (2000a),113.808,-23.1094,Breakaway 0.8 km SE of Cardabia Hstd
Leporillus apicalis,Baynes (2000b),113.76692,-26.23905,Goulet Bluff 8 (Shark Bay)
Leporillus apicalis,Baynes (2000b),113.74819,-26.23372,Goulet Bluff 7 (Shark Bay)
Leporillus apicalis,Baynes (2000b),113.68575,-26.19272,Goulet Bluff 3 (Shark Bay)
Leporillus apicalis,Baynes (2000b),113.56638,-26.00364,10 km blowout (Shark Bay)
Leporillus apicalis,Baynes (2000b),113.6583,-25.7556,Cape Rose 3 (Shark Bay)
Leporillus apicalis,Baynes (2000b),113.65933,-25.75506,Cape Rose 2 (Shark Bay)
Leporillus apicalis,Baynes (2000b),113.41336,-25.72533,Cape Lesueur 1 (Shark Bay)
Leporillus apicalis,Baynes (2003a),118.2878,-29.6817,Bimbijy Station tree (Yalgoo IBRA Region)
Leporillus apicalis,Baynes (2003a),118.1147,-29.6147,Bimbijy Station (Yalgoo IBRA Region)
Leporillus apicalis,Baynes (2003a),117.3278,-29.0583,Pinyalling Range (Yalgoo IBRA Region)
Leporillus apicalis,Baynes (2003a),116.9583,-28.7344,Gnows Nest Range (Yalgoo IBRA Region)
Leporillus apicalis,Baynes (2003a),115.6197,-28.1169,Tallering Hill (Yalgoo IBRA Region)
