latitude,longitude,mean age Cal BP,Sample_Name,Laboratory_Code
-22.946433,118.864421,6845,PIL_2001 SNR 1A,OZU472
-22.946433,118.864421,2840,PIL_2001 SNR 1B,Wk-42964
-22.946433,118.864421,9720,PIL_2001 SNR 3A,OZU475
-22.946433,118.864421,2960,PIL_2001 SNR 3B,OZU477
-22.946433,118.864421,5395,PIL_2258 SNR 2,OZU473
-22.946433,118.864421,2080,PIL_4544 SNR 2,OZU474
-22.946433,118.864421,2810,PIL_4544 SNR 3A,Wk-42966
-22.946433,118.864421,865,PIL_4544 SNR 3B,Wk-42965
-22.946433,118.864421,12495,PIL_4544 SNR 3C,OZU476
-22.946433,118.864421,6770,PIL_4544 SNR 4A,Wk-42967
-22.946433,118.864421,1660,PIL_4544 SNR 5A,OZU478
-22.946433,118.864421,7035,PIL_4544 SNR 5B,OZU479
-22.946433,118.864421,10405,PIL_4544 SNR 5C,Wk-42968
-22.946433,118.864421,2225,PIL_540 SNR 1,Wk-42960
-22.946433,118.864421,3495,PIL_540 SNR 2,OZU464
-22.946433,118.864421,3230,PIL_540 SNR 3,OZU465
-22.946433,118.864421,12460,PIL_542 SNR 4B,OZU467
-22.946433,118.864421,31430,PIL_542 SNR 4C,OZU468
-22.946433,118.864421,12145,PIL_542 SNR 5,Wk-42961
-22.946433,118.864421,13525,PIL_542 SNR 6B,OZU469
-22.946433,118.864421,9680,PIL_542 SNR 7,OZU470
-22.946433,118.864421,10375,PIL_542 SNR 8,OZU471
-22.946433,118.864421,19630,PIL_542 SNR 9,OZU466
-22.946433,118.864421,16870,PIL_5841 SNR 1 (Right),Wk-42962
-22.946433,118.864421,10760,PIL_5841 SNR 2B,OZU481
-22.946433,118.864421,6890,PIL_5841 SNR 3,OZU480
-22.946433,118.864421,2445,PIL_5841 SNR 4,Wk-42963
-22.946433,118.864421,5120,"SNRM_22,092,015_1",OZU482
-22.946433,118.864421,15900,"SNRM_24,092,015_3 SNR 2",OZU483
