latitude,longitude,time_bp
-22.95,118.86,-31430
-22.95,118.86,-19630
-22.95,118.86,-16870
-22.95,118.86,-15900
-22.95,118.86,-13525
-22.95,118.86,-12495
-22.95,118.86,-12460
-22.95,118.86,-12145
-22.95,118.86,-10760
-22.95,118.86,-10405
-22.95,118.86,-10375
-22.95,118.86,-9720
-22.95,118.86,-9680
-22.95,118.86,-7035
-22.95,118.86,-6890
-22.95,118.86,-6845
-22.95,118.86,-6770
-22.95,118.86,-5395
-22.95,118.86,-5120
-22.95,118.86,-3495
-22.95,118.86,-3230
-22.95,118.86,-2960
-22.95,118.86,-2840
-22.95,118.86,-2810
-22.95,118.86,-2445
-22.95,118.86,-2225
-22.95,118.86,-2080
-22.95,118.86,-1660
-22.95,118.86,-865
