name,LAT,LONG,Species,Collector
Roaches Rest Cave,-31.57,127.23,conditor,J.W.J. Lowry Aug. 1966; K.A. Lance Jan. 1976
Horseshoe Cave,-31.65,127.43,conditor,"M. Archer, B.G. Muir & K. Akerman 1969 to 1970"
Abrakurrie Cave,-31.67,127.43,conditor,"J.W.J. Lowry Sept.-Oct. 1966, J. Bywater Dec. 1969 and A.D. Jones Jan. 1976. "
Cocklebiddy Cave,-31.97,125.92,conditor,"D.C. Lowry Dec. 1965, D.C. & J.W.J. Lowry Jan. 1966. "
Unnamed,-32.48,123.84,conditor,"Murray Thomas et al., Dec. 1971; A. Baynes and R.P. Hart Apr. 1984. "
Warbla Cave,-31.53,129.1,conditor,"J.H.J. Lowry Nov. 1968, J. Bywater Dec. 1969"
Thylacine Hole,-31.68,127.72,conditor,J.W.J. Lowry 1966. 
Firestick Cave,-31.75,127.02,conditor,"P. Cawthorn Jan. 1961, D.L. Cook Jan. 1962, J.W.J. Lowry Oct. 1966"
Dingo Cave,-31.85,126.73,conditor,"R.C. Hyslop and D.F. Petchell Aug. 1967, J.H.J. Lowry Oct. 1968, M. Thomas et al. Jan 1972"
Murra-el-elevyn Cave,-32.07,126.03,conditor,"E.L. Lundelius and G.W. Kendrick, 1954-55, J.H. Partridge 1964, J.W.J. Lowry 1966, P.J. Bridge 1967, A. Baynes and P.J. Bridge 1967."
Unnamed,-32.5,124.63,conditor,R.P. Hart and A. Baynes Apr. 1984
Unnamed,-32.47,123.4,conditor,A. Baynes and R.P. Hart Apr. 1984
Weebubbie Cave,-31.67,128.75,conditor,J.W.J. Lowry 1966. 
Unnamed,-31.68,129.03,conditor,J.W.J. Lowry 1966. 
Winbirra Cave,-31.7,128.48,conditor,J.W.J. Lowry 1966. 
Kutowalla Doline,-31.72,128.48,conditor,J.W.J. Lowry 1966. 
Webbs Cave,-31.77,127.8,conditor,"D.L. Cook Jan. 1962, A. Baynes, P.J. Bridge and M. Gregson Mar. 1967, M. Thomas et al. Jan 1972"
Witches Cave,-31.83,127.72,conditor,K.A. Lance Jan. 1976
Telegraph Cave,-32.22,125.88,conditor,A.J. Carlisle 1966
Madura Six Mile South Cave,-31.97,127.03,conditor,"D.L. Cook Dec. 1961, D.C. & J.W.J. Lowry Jan. 1966"
Unnamed,-29.75,129.25,conditor,A.J. Carlisle Nov. 1975
Lynch Cave,-30.97,127.07,conditor,J.W.J. Lowry Aug. 1966; W.H. Butler Jul. 1967
Unnamed,-31.03,126.8,conditor,H.H. Butler Jul. 1967. 
Unnamed,-31.07,125.33,conditor, K.J. Marshall 1968. 
Old Homestead Cave,-31.17,127.95,conditor,J.W.J. Lowry 1966. 
Unnamed,-31.25,128.48,conditor,J.W.J. Lowry 1966. 
Unnamed,-31.4,128.58,conditor,J.W.J. Lowry 1966. 
Skinkhole,-31.43,127.87,conditor,J.W.J. Lowry 1966. 
Unnamed,-31.43,127.18,conditor,J.W.J. Lowry 1966. 
Mullamullang Cave,-31.72,127.23,conditor,"J.W.J. Lowry 1966., P.J. Bridge 1966 "
Pannikin Plain Cave,-32.03,126.18,conditor,"G. Zeck Dec. 196D, D.C. & J.H.J. Lowry Dec. 1965, D.L. Cook date unknown"
Moonera Tank Cave,-31.98,126.5,conditor,J.W.J. Lowry 1965.
Roaches Rest Cave,-31.57,127.23,apicalis,J.W.J. Lowry Aug. 1966; K.A. Lance Jan. 1976
Horseshoe Cave,-31.65,127.43,apicalis,"M. Archer, B.G. Muir & K. Akerman 1969 to 1970"
Abrakurrie Cave,-31.67,127.43,apicalis,"J.W.J. Lowry Sept.-Oct. 1966, J. Bywater Dec. 1969 and A.D. Jones Jan. 1976. "
Cocklebiddy Cave,-31.97,125.92,apicalis,"D.C. Lowry Dec. 1965, D.C. & J.W.J. Lowry Jan. 1966. "
Unnamed,-32.48,123.84,apicalis,"Murray Thomas et al., Dec. 1971; A. Baynes and R.P. Hart Apr. 1984. "
Warbla Cave,-31.53,129.1,apicalis,"J.H.J. Lowry Nov. 1968, J. Bywater Dec. 1969"
Thylacine Hole,-31.68,127.72,apicalis,J.W.J. Lowry 1966. 
Firestick Cave,-31.75,127.02,apicalis,"P. Cawthorn Jan. 1961, D.L. Cook Jan. 1962, J.W.J. Lowry Oct. 1966"
Dingo Cave,-31.85,126.73,apicalis,"R.C. Hyslop and D.F. Petchell Aug. 1967, J.H.J. Lowry Oct. 1968, M. Thomas et al. Jan 1972"
Murra-el-elevyn Cave,-32.07,126.03,apicalis,"E.L. Lundelius and G.W. Kendrick, 1954-55, J.H. Partridge 1964, J.W.J. Lowry 1966, P.J. Bridge 1967, A. Baynes and P.J. Bridge 1967."
Unnamed,-32.5,124.63,apicalis,R.P. Hart and A. Baynes Apr. 1984
Unnamed,-32.47,123.4,apicalis,A. Baynes and R.P. Hart Apr. 1984
Weebubbie Cave,-31.67,128.75,apicalis,J.W.J. Lowry 1966. 
Unnamed,-31.68,129.03,apicalis,J.W.J. Lowry 1966. 
Winbirra Cave,-31.7,128.48,apicalis,J.W.J. Lowry 1966. 
Kutowalla Doline,-31.72,128.48,apicalis,J.W.J. Lowry 1966. 
Webbs Cave,-31.77,127.8,apicalis,"D.L. Cook Jan. 1962, A. Baynes, P.J. Bridge and M. Gregson Mar. 1967, M. Thomas et al. Jan 1972"
Witches Cave,-31.83,127.72,apicalis,K.A. Lance Jan. 1976
Telegraph Cave,-32.22,125.88,apicalis,A.J. Carlisle 1966
Madura Six Mile South Cave,-31.97,127.03,apicalis,"D.L. Cook Dec. 1961, D.C. & J.W.J. Lowry Jan. 1966"
Twin Level Cave,-32.57,124.79,apicalis,A. Baynes and R.P. Hart Apr. 1984
Tommy Grahams Cave,-32.1,126.18,apicalis,"G.W. Kendrick and G. Hitchin May 1966, A.J. Carlisle 1966 and 1967."
Unnamed,-32.59,122.92,apicalis,A. Baynes and R.P. Hart Apr. 1984
Unnamed,-32.93,124.53,apicalis,A. Baynes and R.P. Hart Apr. 1984
Peak Charles,-32.87,121.15,apicalis,A. Baynes and R.P. Hart Apr. 1984
Darke Peak,-33.43,136.17,apicalis,G.C. Medlin et al. Apr. 1984
