Author's description,Publication date,Author,geology,plants,Latitude,Longitude,Latitude,Longitude,Location (State),"Institution (University of New South Wales, University of Wollongong)",Age estimate,STDEV,RADIOCARBON LAB.,,TYPE OF ANALYSIS,MATERIAL ANALYSED,MATERIAL ANALYSED,DELTA13 CORRECTION (if known),PHYSICAL PRETREATMENT,CHEMICAL PRETREATMENT,POSITION,Builder,
"Nelson et al (1990) , ",1990,Nelson,,ad,24,133,133,-24,Finke Gorge (NT),A3989,-1660,100,A3989,,Conventional,,?,,,,T,,
"Nelson et al (1990) , ",1990,Nelson,,ad,24,133,133,-24,Finke Gorge (NT),A3990,-2780,100,A3990,,Conventional,,?,,,,B,,
Berry (1993),1993,Berry,,2,24 19,131 41,131.683333,-24.316667,,MaqU,-3500,90,BETA-23022,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,,,,B,,OZA318 (one result only) 10900 +- 90
Berry (1993),1993,Berry,,2,24 19,131 41,131.683333,-24.316667,,MaqU,-1700,90,BETA-23023,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,,,,T,,
FinkeG15,2002,Cockerill,,,,132.2,132.2,-24.433333,Amphitheatre,University of Newcastle,360,82,Waikato,,Conventional,SNR scats,,,,,,,
FinkeI16,2002,Cockerill,,,,,132.2,-24.433333,Amphitheatre,University of Newcastle,552,128,Waikato,,Conventional,SNR scats,,,,,,,
FinkeA22,2002,Cockerill,,,,,132.2,-24.433333,Amphitheatre,University of Newcastle,756,78,Waikato,,Conventional,SNR scats,,,,,,,
FinkeH19,2002,Cockerill,,,,,132.2,-24.433333,Amphitheatre,University of Newcastle,988,66,Waikato,,Conventional,SNR scats,,,,,,,
FinkeF4,2002,Cockerill,,,,,132.2,-24.433333,Amphitheatre,University of Newcastle,3090,65,Waikato,,Conventional,SNR scats,,,,,,,
ARLTG8,2002,Webeck,,,,,134.7,-23.45,Arltunga,University of Newcastle,2500,40,OZF197,,AMS,SNR scats,,,,,,Leporillis apicalis,
ARLTH10,2002,Webeck,,,,,134.7,-23.45,Arltunga,University of Newcastle,606,136,Waikato9581,,Conventional,SNR scats,,,,,,Leporillis apicalis,
ARLTK2,2002,Webeck,,,,,134.7,-23.45,Arltunga,University of Newcastle,835,62,Waikato9582,,Conventional,SNR scats,,,,,,Leporillis apicalis,
ARLTP5,2002,Webeck,Quartzite,,,,134.7,-23.45,Arltunga,University of Newcastle,Modern,,Waikato9583,,Conventional,SNR scats,,,,,,Leporillis apicalis,
