"Sample_Name","Laboratory_Code","Conventional_Radiocarbon_Age_yrs_BP","Calibrated_Ages_cal_BP","Calibrated_Ranges","Percentage_Ranges"
"SNRM_22,092,015_1","OZU482","4605 ± 30","5440–5410 (4.3%); 5330–5210 (40.0%); 5190–5050 (51.1%)","5440–5410 ; 5330–5210 ; 5190–5050","4.3%; 40.0%; 51.1%"
"SNRM_24,092,015_3 SNR 2","OZU483","13,270 ± 45","16,090–15,710 (95.4%)","16,090–15,710","95.4%"
"PIL_2258 SNR 2","OZU473","4715 ± 30","5580–5540 (6.3%); 5480–5310 (89.1%)","5580–5540 ; 5480–5310","6.3%; 89.1%"
"PIL_540 SNR 1","Wk-42960","2222 ± 20","2310–2140 (89.2%); 2130–2100 (6.2%)","2310–2140 ; 2130–2100","89.2%; 6.2%"
"PIL_540 SNR 2","OZU464","3315 ± 30","3590–3400 (95.4%)","3590–3400","95.4%"
"PIL_540 SNR 3","OZU465","3065 ± 25","3350–3110 (93.0%); 3100–3070 (2.4%)","3350–3110 ; 3100–3070","93.0%; 2.4%"
"PIL_542 SNR 4B","OZU467","10,500 ± 40","12,560–12,360 (49.6%); 12,350–12,260 (18.4%); 12,240–12,080 (27.5%)","12,560–12,360 ; 12,350–12,260 ; 12,240–12,080","49.6%; 18.4%; 27.5%"
"PIL_542 SNR 4C","OZU468","27,670 ± 180","31,760–31,100 (95.4%)","31,760–31,100","95.4%"
"PIL_542 SNR 5","Wk-42961","10,443 ± 30","12,430–12,250 (46.7%); 12,240–12,050 (48.7%)","12,430–12,250 ; 12,240–12,050","46.7%; 48.7%"
"PIL_542 SNR 6B","OZU469","11,750 ± 45","13,710–13,670 (2.6%); 13,630–13,420 (92.8%)","13,710–13,670 ; 13,630–13,420","2.6%; 92.8%"
"PIL_542 SNR 7","OZU470","8735 ± 45","9890–9840 (2.1%); 9820–9540 (93.3%)","9890–9840 ; 9820–9540","2.1%; 93.3%"
"PIL_542 SNR 8","OZU471","9250 ± 45","10,510–10,240 (95.4%)","10,510–10,240","95.4%"
"PIL_542 SNR 9","OZU466","16,280 ± 60","19,860–19,400 (95.4%)","19,860–19,400","95.4%"
"PIL_5841 SNR 1 (Right)","Wk-42962","13,978 ± 47","17,120–16,620 (95.4%)","17,120–16,620","95.4%"
"PIL_5841 SNR 2B","OZU481","9545 ± 40","11,080–10,940 (32.7%); 10,880–10,640 (60.1%); 10,630–10,590 (2.6%)","11,080–10,940 ; 10,880–10,640 ; 10,630–10,590","32.7%; 60.1%; 2.6%"
"PIL_5841 SNR 3","OZU480","6105 ± 50","7160–7040 (8.8%); 7030–6750 (86.6%)","7160–7040 ; 7030–6750","8.8%; 86.6%"
"PIL_5841 SNR 4","Wk-42963","2472 ± 20","2700–2630 (19.2%); 2620–2580 (6.4%); 2540–2350 (69.7%)","2700–2630 ; 2620–2580 ; 2540–2350","19.2%; 6.4%; 69.7%"
"PIL_4544 SNR 2","OZU474","2145 ± 25","2160–2000 (95.4%)","2160–2000","95.4%"
"PIL_4544 SNR 3A","Wk-42966","2758 ± 20","2870–2750 (95.4%)","2870–2750","95.4%"
"PIL_4544 SNR 3B","Wk-42965","1019 ± 20","800–930","800–930",""
"PIL_4544 SNR 3C","OZU476","10,575 ± 40","12,650–12,580 (13.7%); 12,570–12,420 (81.7%)","12,650–12,580 ; 12,570–12,420","13.7%; 81.7%"
"PIL_4544 SNR 4A","Wk-42967","5969 ± 41","6890–6650 (95.4%)","6890–6650","95.4%"
"PIL_4544 SNR 5A","OZU478","1800 ± 25","1730–1590 (95.4%)","1730–1590","95.4%"
"PIL_4544 SNR 5B","OZU479","6185 ± 40","7170–6900 (95.4%)","7170–6900","95.4%"
"PIL_4544 SNR 5C","Wk-42968","9279 ± 54","10,560–10,250 (95.4%)","10,560–10,250","95.4%"
"PIL_2001 SNR 1A","OZU472","6050 ± 30","6950–6740 (95.4%)","6950–6740","95.4%"
"PIL_2001 SNR 1B","Wk-42964","2769 ± 38","2930–2750 (95.4%)","2930–2750","95.4%"
"PIL_2001 SNR 3A","OZU475","8780 ± 35","9890–9550 (95.4%)","9890–9550","95.4%"
"PIL_2001 SNR 3B","OZU477","2890 ± 30","3070–2850 (95.4%)","3070–2850","95.4%"
