trace,Identifier,Species,LAT,LONG,location,Site Description,Collector,year,month,GPS,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.3,-26.4,False Entrance Well,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.433,-24.117,Coastal cliffs,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.583,-25.633,Guichenault Point,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.683,-26.6,Baba Head,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.8,-23.117,Cardabia Homestead,Limestone ridge SE,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.983,-22.2,Cape Range,Cave C-207,C-207,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,113.983,-22.183,Cape Range,Cave C-4,C-4,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,114,-22.217,Cape Range,Cave C-200,C-200,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,114,-22.133,Cape Range,Cave C-299,C-299,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,114.033,-22.017,Cape Range,Cave C-251,C-251,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,114.283,-25.983,Yaringa Homestead,Bluffs nearby,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,115.15,-25.35,Winderie Station,Breakaway,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,115.35,-24.75,Table Top Well,Mesa nearby,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,115.583,-29.083,Merkanooka Station,Rockshelter,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,115.617,-28.117,Tallering Hill,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,116.283,-27.467,Murgoo Station,Breakaways,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,55239,Leporillus apicalis,116.2833,-27.6,POONA,In cave,,,,,,Western Australian Mueseum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,116.767,-29.2,Karara Station,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,117.15,-23.567,Mt Elephant,Small breakaway SE,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,117.183,-28.133,Narrying Range,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midden,Baynes2002,Leporillus apicalis,117.25,-29.567,Beanthiny Hill,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
