n,est,lo,hi,stat
3,3058.6585,470,7720,Median
4,2973.176,620,7050.749999999996,Median
5,2852.126,620,7260,Median
6,2793.414,700,6525,Median
7,2751.8115,630,6380,Median
8,2665.30775,700,6085,Median
9,2586.842,630,5790,Median
10,2630.528,794.8875,5791.74999999999,Median
11,2552.744,770,5790,Median
12,2564.02975,825,5565,Median
13,2572.878,880,5340,Median
14,2556.549,865.5,5405,Median
15,2553.188,880,5340,Median
16,2469.2945,920.5,5365,Median
17,2522.472,880,5340,Median
18,2498.51275,920.5,5020,Median
19,2499.6975,961,5340,Median
20,2456.785,940,5020,Median
21,2431.501,961,5020,Median
22,2408.464,961,4845,Median
23,2432.4505,961,5020,Median
24,2433.3905,961,4845,Median
25,2468.5835,961,5020,Median
26,2404.91725,980.5,4685,Median
27,2378.3065,961,4350,Median
28,2412.45275,980.5,4685,Median
3,6192.7925,880,11950,Max
4,6836.4685,1300,11950,Max
5,7398.6865,1920,11950,Max
6,7825.936,2950,11950,Max
7,8236.335,3670,11950,Max
8,8470.97,3790,11950,Max
9,8592.6,4350,11950,Max
10,8788.035,5020,11950,Max
11,9087.725,5020,11950,Max
12,9222.25,5340,11950,Max
13,9438.415,5340,11950,Max
14,9522.495,5790,11950,Max
15,9644.87,5790,11950,Max
16,9721.055,6380,11950,Max
17,9859.01,6380,11950,Max
18,9891.46,6380,11950,Max
19,9992.265,7260,11950,Max
20,10137.45,7260,11950,Max
21,10207.355,7260,11950,Max
22,10281.62,7260,11950,Max
23,10253.92,7260,11950,Max
24,10444.155,7400,11950,Max
25,10509.97,7400,11950,Max
26,10491.135,7260,11950,Max
27,10656.965,7400,11950,Max
28,10706.705,7400,11950,Max
