"from_year_bp","to_year_bp","azimuth","direction","shift_km","rate_kmpky"
0,-1000,1.1,"N",14.69,14.69
-1000,-2000,42.1,"NE",7.27,7.27
-2000,-3000,25.2,"NE",20.78,20.78
-3000,-4000,20.6,"N",18.23,18.23
-4000,-5000,22.2,"N",36.32,36.32
-5000,-6000,19.7,"N",19.31,19.31
-6000,-7000,18.7,"N",33.76,33.76
-7000,-8000,111.2,"E",25.96,25.96
-8000,-9000,90.8,"E",15.81,15.81
-9000,-10000,152,"SE",19.46,19.46
-10000,-11000,176.2,"S",10.9,10.9
-11000,-12000,-21.3,"N",50.61,50.61
-12000,-13000,-41.8,"NW",61.18,61.18
-13000,-14000,-60.5,"NW",32.87,32.87
-14000,-15000,-35.7,"NW",39.92,39.92
-15000,-16000,-45.8,"NW",26.9,26.9
-16000,-17000,-41.7,"NW",42.36,42.36
-17000,-18000,-58.3,"NW",19.44,19.44
-18000,-19000,-78.8,"W",15.06,15.06
-19000,-20000,-64.4,"NW",5.79,5.79
-20000,-21000,39.1,"NE",2.53,2.53
-21000,-22000,70,"E",8.43,8.43
-22000,-23000,82,"E",17.6,17.6
-23000,-24000,97.4,"E",12.86,12.86
-24000,-25000,110.4,"E",15.55,15.55
-25000,-26000,98.1,"E",25,25
-26000,-27000,99.2,"E",21.09,21.09
-27000,-28000,113.1,"SE",12.27,12.27
-28000,-29000,116.4,"SE",11.89,11.89
-29000,-30000,113.2,"SE",6.51,6.51
-30000,-31000,146.4,"SE",1.77,1.77
-31000,-32000,122.5,"SE",7.81,7.81
-32000,-33000,-135.7,"SW",4.26,4.26
-33000,-34000,-61.1,"NW",5.11,5.11
-34000,-35000,-101.8,"W",9.99,9.99
-35000,-36000,-69.4,"W",11.2,11.2
-36000,-37000,-94.1,"W",10.4,10.4
-37000,-38000,-102.2,"W",10.15,10.15
-38000,-39000,-42.9,"NW",16.33,16.33
