"from_year_bp","to_year_bp","azimuth","direction","shift_km","rate_kmpky"
0,-1000,11.5,"N",18.4,18.4
-1000,-2000,76.4,"E",4.06,4.06
-2000,-3000,16.1,"N",7.75,7.75
-3000,-4000,-175.6,"S",3.45,3.45
-4000,-5000,23.6,"NE",11.73,11.73
-5000,-6000,92.5,"E",7.69,7.69
-6000,-7000,5.5,"N",25.24,25.24
-7000,-8000,161.3,"S",27.49,27.49
-8000,-9000,173.1,"S",11.62,11.62
-9000,-10000,174.8,"S",29.19,29.19
-10000,-11000,147.7,"SE",12,12
-11000,-12000,-13,"N",49.25,49.25
-12000,-13000,-26.6,"NW",62.95,62.95
-13000,-14000,-44.4,"NW",29.39,29.39
-14000,-15000,-34.3,"NW",40.12,40.12
-15000,-16000,-40.5,"NW",22.2,22.2
-16000,-17000,-22.9,"NW",38.07,38.07
-17000,-18000,-37.1,"NW",12.17,12.17
-18000,-19000,-71.4,"W",10.88,10.88
-19000,-20000,-21.3,"N",3.86,3.86
-20000,-21000,60.9,"NE",3.8,3.8
-21000,-22000,77.2,"E",7.09,7.09
-22000,-23000,47.1,"NE",10.18,10.18
-23000,-24000,96.5,"E",5.71,5.71
-24000,-25000,96,"E",13.74,13.74
-25000,-26000,46.5,"NE",11.91,11.91
-26000,-27000,91.5,"E",15.42,15.42
-27000,-28000,99.8,"E",7.48,7.48
-28000,-29000,140,"SE",7.14,7.14
-29000,-30000,137.9,"SE",7.14,7.14
-30000,-31000,139.9,"SE",4.01,4.01
-31000,-32000,151.7,"SE",9.93,9.93
-32000,-33000,-167.2,"S",6.68,6.68
-33000,-34000,-99.2,"W",5.23,5.23
-34000,-35000,-131.5,"SW",8.54,8.54
-35000,-36000,-72.4,"W",5.16,5.16
-36000,-37000,-112.8,"SW",8.39,8.39
-37000,-38000,-118.2,"SW",8.41,8.41
-38000,-39000,-18.7,"N",14.73,14.73
